Year,Units,État des stocks,Région,Groupe de stocks,Value
2021,Nombre de stocks,État incertain,,Grands poissons pélagiques,1.0
2021,Nombre de stocks,État incertain,,Salmonidés,6.0
2021,Nombre de stocks,État incertain,,Crustacés,18.0
2021,Nombre de stocks,État incertain,,Mollusques,10.0
2021,Nombre de stocks,État incertain,,Autres,3.0
2022,Nombre de stocks,Zone de prudence et la zone saine,,Mammifères marins,2.0
2022,Nombre de stocks,Zone de prudence et la zone saine,,Poissons de fond,25.0
2022,Nombre de stocks,Zone de prudence et la zone saine,,Petits poissons pélagiques,7.0
2022,Nombre de stocks,Zone de prudence et la zone saine,,Grands poissons pélagiques,1.0
2022,Nombre de stocks,Zone de prudence et la zone saine,,Salmonidés,13.0
2022,Nombre de stocks,Zone de prudence et la zone saine,,Crustacés,32.0
2022,Nombre de stocks,Zone de prudence et la zone saine,,Mollusques,7.0
2022,Nombre de stocks,Zone de prudence et la zone saine,,Autres,3.0
2021,Nombre de stocks,Zone de prudence et la zone saine,,Mammifères marins,2.0
2021,Nombre de stocks,Zone de prudence et la zone saine,,Poissons de fond,27.0
2021,Nombre de stocks,Zone de prudence et la zone saine,,Petits poissons pélagiques,6.0
2021,Nombre de stocks,Zone de prudence et la zone saine,,Grands poissons pélagiques,2.0
2021,Nombre de stocks,Zone de prudence et la zone saine,,Salmonidés,14.0
2021,Nombre de stocks,Zone de prudence et la zone saine,,Crustacés,32.0
2021,Nombre de stocks,Zone de prudence et la zone saine,,Mollusques,7.0
2021,Nombre de stocks,Zone de prudence et la zone saine,,Autres,6.0
