Year,Sex,Age group,Value
2004,Females,65 to 69 years,0
2004,Both sexes,70 to 74 years,0
2004,Males,70 to 74 years,0
2004,Females,70 to 74 years,0
2004,Both sexes,75 to 79 years,0
2004,Males,75 to 79 years,0
2004,Females,75 to 79 years,0
2004,Both sexes,80 to 84 years,0
2004,Males,80 to 84 years,0
2004,Females,80 to 84 years,0
2004,Both sexes,85 to 89 years,0
2004,Males,85 to 89 years,0
2004,Females,85 to 89 years,0
2004,Both sexes,90 years and over,0
2004,Males,90 years and over,0
2004,Females,90 years and over,0
2004,Both sexes,"Age, not stated",0
2004,Males,"Age, not stated",0
2004,Females,"Age, not stated",0
2005,,,13
2005,Males,"Total, all ages",8
2005,Females,"Total, all ages",5
2005,Both sexes,Under 1 years,0
2005,Males,Under 1 years,0
2005,Females,Under 1 years,0
2005,Both sexes,1 to 4 years,0
2005,Males,1 to 4 years,0
2005,Females,1 to 4 years,0
2005,Both sexes,5 to 9 years,0
2005,Males,5 to 9 years,0
2005,Females,5 to 9 years,0
2005,Both sexes,10 to 14 years,0
2005,Males,10 to 14 years,0
2005,Females,10 to 14 years,0
2005,Both sexes,15 to 19 years,0
2005,Males,15 to 19 years,0
2005,Females,15 to 19 years,0
2005,Both sexes,20 to 24 years,0
2005,Males,20 to 24 years,0
2005,Females,20 to 24 years,0
2005,Both sexes,25 to 29 years,0
2005,Males,25 to 29 years,0
2005,Females,25 to 29 years,0
2005,Both sexes,30 to 34 years,0
2005,Males,30 to 34 years,0
2005,Females,30 to 34 years,0
2005,Both sexes,35 to 39 years,1
2005,Males,35 to 39 years,1
2005,Females,35 to 39 years,0
2005,Both sexes,40 to 44 years,3
2005,Males,40 to 44 years,3
2005,Females,40 to 44 years,0
2005,Both sexes,45 to 49 years,0
2005,Males,45 to 49 years,0
2005,Females,45 to 49 years,0
2005,Both sexes,50 to 54 years,1
2005,Males,50 to 54 years,1
2005,Females,50 to 54 years,0
2005,Both sexes,55 to 59 years,1
2005,Males,55 to 59 years,1
2005,Females,55 to 59 years,0
2005,Both sexes,60 to 64 years,1
2005,Males,60 to 64 years,1
2005,Females,60 to 64 years,0
2005,Both sexes,65 to 69 years,1
2005,Males,65 to 69 years,0
2005,Females,65 to 69 years,1
2005,Both sexes,70 to 74 years,2
2005,Males,70 to 74 years,0
2005,Females,70 to 74 years,2
2005,Both sexes,75 to 79 years,1
2005,Males,75 to 79 years,0
2005,Females,75 to 79 years,1
2005,Both sexes,80 to 84 years,0
2005,Males,80 to 84 years,0
2005,Females,80 to 84 years,0
2005,Both sexes,85 to 89 years,1
2005,Males,85 to 89 years,1
2005,Females,85 to 89 years,0
2005,Both sexes,90 years and over,1
2005,Males,90 years and over,0
2005,Females,90 years and over,1
2005,Both sexes,"Age, not stated",0
2005,Males,"Age, not stated",0
2005,Females,"Age, not stated",0
2006,,,14
2006,Males,"Total, all ages",10
2006,Females,"Total, all ages",4
2006,Both sexes,Under 1 years,0
2006,Males,Under 1 years,0
2006,Females,Under 1 years,0
2006,Both sexes,1 to 4 years,0
2006,Males,1 to 4 years,0
2006,Females,1 to 4 years,0
2006,Both sexes,5 to 9 years,0
2006,Males,5 to 9 years,0
2006,Females,5 to 9 years,0
2006,Both sexes,10 to 14 years,0
2006,Males,10 to 14 years,0
2006,Females,10 to 14 years,0
2006,Both sexes,15 to 19 years,0
2006,Males,15 to 19 years,0
2006,Females,15 to 19 years,0
2006,Both sexes,20 to 24 years,0
2006,Males,20 to 24 years,0
2006,Females,20 to 24 years,0
2006,Both sexes,25 to 29 years,1
2006,Males,25 to 29 years,1
2006,Females,25 to 29 years,0
2006,Both sexes,30 to 34 years,0
2006,Males,30 to 34 years,0
2006,Females,30 to 34 years,0
2006,Both sexes,35 to 39 years,1
2006,Males,35 to 39 years,1
2006,Females,35 to 39 years,0
2006,Both sexes,40 to 44 years,0
2006,Males,40 to 44 years,0
2006,Females,40 to 44 years,0
2006,Both sexes,45 to 49 years,0
2006,Males,45 to 49 years,0
2006,Females,45 to 49 years,0
2006,Both sexes,50 to 54 years,1
