Year,Industries,Activités de protection de l'environnement,Value
2019,Extraction de pétrole et de gaz,Gestion de la pollution atmosphérique,47.7
2019,Extraction de pétrole et de gaz,"Protection et assainissement du sol, des eaux souterraines et des eaux de surface",56.2
2019,Extraction de pétrole et de gaz,Protection de la biodiversité et de l’habitat,30.3
2019,Extraction de pétrole et de gaz,Lutte contre le bruit et les vibrations,19.1
2019,Extraction minière et exploitation en carrière,"Total, activités de protection de l'environnement",99.0
2019,Extraction minière et exploitation en carrière,Gestion des eaux usées,89.8
2019,Extraction minière et exploitation en carrière,Gestion de la pollution atmosphérique,63.3
2019,Extraction minière et exploitation en carrière,"Protection et assainissement du sol, des eaux souterraines et des eaux de surface",72.4
2019,Extraction minière et exploitation en carrière,Protection de la biodiversité et de l’habitat,58.2
2019,Extraction minière et exploitation en carrière,Lutte contre le bruit et les vibrations,22.4
2019,"Production, transport et distribution d’électricité","Total, activités de protection de l'environnement",84.9
2019,"Production, transport et distribution d’électricité",Gestion des eaux usées,57.5
2019,"Production, transport et distribution d’électricité",Gestion de la pollution atmosphérique,25.7
2019,"Production, transport et distribution d’électricité","Protection et assainissement du sol, des eaux souterraines et des eaux de surface",32.7
2019,"Production, transport et distribution d’électricité",Protection de la biodiversité et de l’habitat,40.4
2019,"Production, transport et distribution d’électricité",Lutte contre le bruit et les vibrations,19.8
2019,Distribution de gaz naturel,"Total, activités de protection de l'environnement",67.6
2019,Distribution de gaz naturel,Gestion des eaux usées,55.9
2019,Distribution de gaz naturel,Gestion de la pollution atmosphérique,55.9
2019,Distribution de gaz naturel,"Protection et assainissement du sol, des eaux souterraines et des eaux de surface",47.1
2019,Distribution de gaz naturel,Protection de la biodiversité et de l’habitat,41.2
2019,Distribution de gaz naturel,Lutte contre le bruit et les vibrations,38.2
2019,Fabrication d’aliments,"Total, activités de protection de l'environnement",96.4
2019,Fabrication d’aliments,Gestion des eaux usées,82.8
2019,Fabrication d’aliments,Gestion de la pollution atmosphérique,13.0
2019,Fabrication d’aliments,"Protection et assainissement du sol, des eaux souterraines et des eaux de surface",7.0
2019,Fabrication d’aliments,Protection de la biodiversité et de l’habitat,10.7
2019,Fabrication d’aliments,Lutte contre le bruit et les vibrations,13.6
2019,Fabrication de boissons et de produits du tabac,"Total, activités de protection de l'environnement",92.4
2019,Fabrication de boissons et de produits du tabac,Gestion des eaux usées,78.0
2019,Fabrication de boissons et de produits du tabac,Gestion de la pollution atmosphérique,8.9
2019,Fabrication de boissons et de produits du tabac,"Protection et assainissement du sol, des eaux souterraines et des eaux de surface",2.4
2019,Fabrication de boissons et de produits du tabac,Protection de la biodiversité et de l’habitat,2.3
2019,Fabrication de boissons et de produits du tabac,Lutte contre le bruit et les vibrations,2.4
2019,Fabrication de produits en bois,"Total, activités de protection de l'environnement",91.6
2019,Fabrication de produits en bois,Gestion des eaux usées,61.5
2019,Fabrication de produits en bois,Gestion de la pollution atmosphérique,22.0
2019,Fabrication de produits en bois,"Protection et assainissement du sol, des eaux souterraines et des eaux de surface",20.2
2019,Fabrication de produits en bois,Protection de la biodiversité et de l’habitat,5.1
