Year,Geography,Sources of waste for disposal,GeoCode,Value
2018,Canada,Residential sources of waste for disposal,,292.6
2018,Canada,Non-residential sources of waste for disposal,,401.5
2018,Newfoundland and Labrador,All sources of waste for disposal,10,707.2
2018,Newfoundland and Labrador,Residential sources of waste for disposal,10,300.1
2018,Newfoundland and Labrador,Non-residential sources of waste for disposal,10,407.0
2018,Prince Edward Island,All sources of waste for disposal,11,354.5
2018,Prince Edward Island,Residential sources of waste for disposal,11,134.9
2018,Prince Edward Island,Non-residential sources of waste for disposal,11,219.6
2018,Nova Scotia,All sources of waste for disposal,12,407.8
2018,Nova Scotia,Residential sources of waste for disposal,12,163.3
2018,Nova Scotia,Non-residential sources of waste for disposal,12,244.5
2018,New Brunswick,All sources of waste for disposal,13,659.1
2018,New Brunswick,Residential sources of waste for disposal,13,288.3
2018,New Brunswick,Non-residential sources of waste for disposal,13,370.8
2018,Quebec,All sources of waste for disposal,24,663.3
2018,Quebec,Residential sources of waste for disposal,24,385.3
2018,Quebec,Non-residential sources of waste for disposal,24,278.0
2018,Ontario,All sources of waste for disposal,35,704.0
2018,Ontario,Residential sources of waste for disposal,35,277.8
2018,Ontario,Non-residential sources of waste for disposal,35,426.1
2018,Manitoba,All sources of waste for disposal,46,712.1
2018,Manitoba,Residential sources of waste for disposal,46,246.7
2018,Manitoba,Non-residential sources of waste for disposal,46,465.4
2018,Saskatchewan,All sources of waste for disposal,47,747.9
2018,Saskatchewan,Residential sources of waste for disposal,47,329.7
2018,Saskatchewan,Non-residential sources of waste for disposal,47,418.2
2018,Alberta,All sources of waste for disposal,48,959.4
2018,Alberta,Residential sources of waste for disposal,48,311.4
2018,Alberta,Non-residential sources of waste for disposal,48,647.9
2018,British Columbia,All sources of waste for disposal,59,541.7
2018,British Columbia,Residential sources of waste for disposal,59,197.8
2018,British Columbia,Non-residential sources of waste for disposal,59,343.9
2018,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,734.1
2018,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,264.6
2018,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,469.5
2020,Canada,Residential sources of waste for disposal,,285.6
2020,Canada,Non-residential sources of waste for disposal,,400.9
2020,Newfoundland and Labrador,All sources of waste for disposal,10,693.2
2020,Newfoundland and Labrador,Residential sources of waste for disposal,10,305.8
2020,Newfoundland and Labrador,Non-residential sources of waste for disposal,10,387.3
2020,Prince Edward Island,All sources of waste for disposal,11,350.5
2020,Prince Edward Island,Residential sources of waste for disposal,11,126.7
2020,Prince Edward Island,Non-residential sources of waste for disposal,11,223.8
2020,Nova Scotia,All sources of waste for disposal,12,404.1
2020,Nova Scotia,Residential sources of waste for disposal,12,159.5
2020,Nova Scotia,Non-residential sources of waste for disposal,12,244.6
2020,New Brunswick,All sources of waste for disposal,13,636.7
2020,New Brunswick,Residential sources of waste for disposal,13,274.6
2020,New Brunswick,Non-residential sources of waste for disposal,13,362.2
2020,Quebec,All sources of waste for disposal,24,673.1
2020,Quebec,Residential sources of waste for disposal,24,399.7
2020,Quebec,Non-residential sources of waste for disposal,24,273.5
2020,Ontario,All sources of waste for disposal,35,697.8
2020,Ontario,Residential sources of waste for disposal,35,258.4
2020,Ontario,Non-residential sources of waste for disposal,35,439.4
2020,Manitoba,All sources of waste for disposal,46,677.1
2020,Manitoba,Residential sources of waste for disposal,46,235.8
2020,Manitoba,Non-residential sources of waste for disposal,46,441.2
2020,Saskatchewan,All sources of waste for disposal,47,730.2
