Year,Geography,Age group,Sex,Value
2018,Alberta,65 years and over,Males,90.0
2019,Alberta,65 years and over,Males,90.2
2020,Alberta,65 years and over,Males,92.0
2015,Alberta,65 years and over,Females,88.1
2016,Alberta,65 years and over,Females,91.1
2017,Alberta,65 years and over,Females,88.9
2018,Alberta,65 years and over,Females,92.1
2019,Alberta,65 years and over,Females,91.0
2020,Alberta,65 years and over,Females,89.4
2015,British Columbia,"Total, 12 years and over",Both sexes,93.0
2016,British Columbia,"Total, 12 years and over",Both sexes,91.7
2017,British Columbia,"Total, 12 years and over",Both sexes,91.8
2018,British Columbia,"Total, 12 years and over",Both sexes,92.4
2019,British Columbia,"Total, 12 years and over",Both sexes,93.0
2020,British Columbia,"Total, 12 years and over",Both sexes,92.5
2015,British Columbia,"Total, 12 years and over",Males,92.5
2016,British Columbia,"Total, 12 years and over",Males,92.6
2017,British Columbia,"Total, 12 years and over",Males,91.7
2018,British Columbia,"Total, 12 years and over",Males,93.4
2019,British Columbia,"Total, 12 years and over",Males,93.6
2020,British Columbia,"Total, 12 years and over",Males,92.7
2015,British Columbia,"Total, 12 years and over",Females,93.6
2016,British Columbia,"Total, 12 years and over",Females,90.9
2017,British Columbia,"Total, 12 years and over",Females,91.8
2018,British Columbia,"Total, 12 years and over",Females,91.4
2019,British Columbia,"Total, 12 years and over",Females,92.5
2020,British Columbia,"Total, 12 years and over",Females,92.4
2015,British Columbia,12 to 17 years,Both sexes,99.3
2016,British Columbia,12 to 17 years,Both sexes,98.5
2017,British Columbia,12 to 17 years,Both sexes,97.2
2018,British Columbia,12 to 17 years,Both sexes,97.4
2019,British Columbia,12 to 17 years,Both sexes,97.4
2020,British Columbia,12 to 17 years,Both sexes,97.2
2015,British Columbia,12 to 17 years,Males,99.5
2016,British Columbia,12 to 17 years,Males,99.4
2017,British Columbia,12 to 17 years,Males,96.7
2018,British Columbia,12 to 17 years,Males,97.7
2019,British Columbia,12 to 17 years,Males,98.0
2020,British Columbia,12 to 17 years,Males,99.4
2015,British Columbia,12 to 17 years,Females,99.1
2016,British Columbia,12 to 17 years,Females,97.6
2017,British Columbia,12 to 17 years,Females,97.8
2018,British Columbia,12 to 17 years,Females,97.1
2019,British Columbia,12 to 17 years,Females,96.8
2020,British Columbia,12 to 17 years,Females,95.0
2015,British Columbia,18 to 34 years,Both sexes,95.4
2016,British Columbia,18 to 34 years,Both sexes,96.4
2017,British Columbia,18 to 34 years,Both sexes,95.9
2018,British Columbia,18 to 34 years,Both sexes,93.9
2019,British Columbia,18 to 34 years,Both sexes,93.5
2020,British Columbia,18 to 34 years,Both sexes,95.2
2015,British Columbia,18 to 34 years,Males,94.8
2016,British Columbia,18 to 34 years,Males,96.2
2017,British Columbia,18 to 34 years,Males,95.9
2018,British Columbia,18 to 34 years,Males,94.3
2019,British Columbia,18 to 34 years,Males,95.3
2020,British Columbia,18 to 34 years,Males,96.1
2015,British Columbia,18 to 34 years,Females,95.9
2016,British Columbia,18 to 34 years,Females,96.6
2017,British Columbia,18 to 34 years,Females,96.0
2018,British Columbia,18 to 34 years,Females,93.4
2019,British Columbia,18 to 34 years,Females,91.7
2020,British Columbia,18 to 34 years,Females,94.1
2015,British Columbia,35 to 49 years,Both sexes,92.6
2016,British Columbia,35 to 49 years,Both sexes,90.4
2017,British Columbia,35 to 49 years,Both sexes,93.5
2018,British Columbia,35 to 49 years,Both sexes,93.1
2019,British Columbia,35 to 49 years,Both sexes,93.7
2020,British Columbia,35 to 49 years,Both sexes,93.4
2015,British Columbia,35 to 49 years,Males,92.0
2016,British Columbia,35 to 49 years,Males,90.4
2017,British Columbia,35 to 49 years,Males,93.2
2018,British Columbia,35 to 49 years,Males,94.6
2019,British Columbia,35 to 49 years,Males,93.2
2020,British Columbia,35 to 49 years,Males,94.6
2015,British Columbia,35 to 49 years,Females,93.0
2016,British Columbia,35 to 49 years,Females,90.3
2017,British Columbia,35 to 49 years,Females,93.9
2018,British Columbia,35 to 49 years,Females,91.7
2019,British Columbia,35 to 49 years,Females,94.2
2020,British Columbia,35 to 49 years,Females,92.3
2015,British Columbia,50 to 64 years,Both sexes,91.3
2016,British Columbia,50 to 64 years,Both sexes,89.3
2017,British Columbia,50 to 64 years,Both sexes,86.2
2018,British Columbia,50 to 64 years,Both sexes,89.8
2019,British Columbia,50 to 64 years,Both sexes,91.5
2020,British Columbia,50 to 64 years,Both sexes,88.8
2015,British Columbia,50 to 64 years,Males,89.8
2016,British Columbia,50 to 64 years,Males,90.4
2017,British Columbia,50 to 64 years,Males,86.0
2018,British Columbia,50 to 64 years,Males,91.3
2019,British Columbia,50 to 64 years,Males,91.7
2020,British Columbia,50 to 64 years,Males,86.2
2015,British Columbia,50 to 64 years,Females,92.9
2016,British Columbia,50 to 64 years,Females,88.3
2017,British Columbia,50 to 64 years,Females,86.4
2018,British Columbia,50 to 64 years,Females,88.4
2019,British Columbia,50 to 64 years,Females,91.3
2020,British Columbia,50 to 64 years,Females,91.2
2015,British Columbia,65 years and over,Both sexes,90.2
2016,British Columbia,65 years and over,Both sexes,87.3
2017,British Columbia,65 years and over,Both sexes,89.0
2018,British Columbia,65 years and over,Both sexes,91.0
2019,British Columbia,65 years and over,Both sexes,92.0
2020,British Columbia,65 years and over,Both sexes,90.9
2015,British Columbia,65 years and over,Males,90.2
2016,British Columbia,65 years and over,Males,90.1
2017,British Columbia,65 years and over,Males,89.2
2018,British Columbia,65 years and over,Males,91.8
2019,British Columbia,65 years and over,Males,92.2
2020,British Columbia,65 years and over,Males,90.9
2015,British Columbia,65 years and over,Females,90.2
2016,British Columbia,65 years and over,Females,84.8
2017,British Columbia,65 years and over,Females,88.8
2018,British Columbia,65 years and over,Females,90.2
2019,British Columbia,65 years and over,Females,91.8
2020,British Columbia,65 years and over,Females,90.9
