Year,Geography,Age group,Sex,Value
2017,Prince Edward Island,12 to 17 years,Females,97.3
2018,Prince Edward Island,12 to 17 years,Females,93.2
2019,Prince Edward Island,12 to 17 years,Females,98.9
2020,Prince Edward Island,12 to 17 years,Females,100.0
2015,Prince Edward Island,18 to 34 years,Both sexes,95.6
2016,Prince Edward Island,18 to 34 years,Both sexes,98.2
2017,Prince Edward Island,18 to 34 years,Both sexes,92.2
2018,Prince Edward Island,18 to 34 years,Both sexes,95.1
2019,Prince Edward Island,18 to 34 years,Both sexes,87.7
2020,Prince Edward Island,18 to 34 years,Both sexes,100.0
2015,Prince Edward Island,18 to 34 years,Males,99.3
2016,Prince Edward Island,18 to 34 years,Males,97.0
2017,Prince Edward Island,18 to 34 years,Males,96.5
2018,Prince Edward Island,18 to 34 years,Males,94.9
2019,Prince Edward Island,18 to 34 years,Males,81.3
2020,Prince Edward Island,18 to 34 years,Males,100.0
2015,Prince Edward Island,18 to 34 years,Females,92.0
2016,Prince Edward Island,18 to 34 years,Females,99.3
2017,Prince Edward Island,18 to 34 years,Females,88.0
2018,Prince Edward Island,18 to 34 years,Females,95.3
2019,Prince Edward Island,18 to 34 years,Females,94.5
2020,Prince Edward Island,18 to 34 years,Females,100.0
2015,Prince Edward Island,35 to 49 years,Both sexes,94.7
2016,Prince Edward Island,35 to 49 years,Both sexes,90.9
2017,Prince Edward Island,35 to 49 years,Both sexes,95.1
2018,Prince Edward Island,35 to 49 years,Both sexes,92.8
2019,Prince Edward Island,35 to 49 years,Both sexes,98.7
2020,Prince Edward Island,35 to 49 years,Both sexes,92.2
2015,Prince Edward Island,35 to 49 years,Males,93.0
2016,Prince Edward Island,35 to 49 years,Males,92.3
2017,Prince Edward Island,35 to 49 years,Males,92.6
2018,Prince Edward Island,35 to 49 years,Males,95.4
2019,Prince Edward Island,35 to 49 years,Males,99.3
2020,Prince Edward Island,35 to 49 years,Males,99.3
2015,Prince Edward Island,35 to 49 years,Females,96.4
2016,Prince Edward Island,35 to 49 years,Females,89.5
2017,Prince Edward Island,35 to 49 years,Females,97.5
2018,Prince Edward Island,35 to 49 years,Females,90.3
2019,Prince Edward Island,35 to 49 years,Females,98.1
2020,Prince Edward Island,35 to 49 years,Females,85.1
2015,Prince Edward Island,50 to 64 years,Both sexes,92.6
2016,Prince Edward Island,50 to 64 years,Both sexes,92.7
2017,Prince Edward Island,50 to 64 years,Both sexes,88.9
2018,Prince Edward Island,50 to 64 years,Both sexes,90.7
2019,Prince Edward Island,50 to 64 years,Both sexes,95.7
2020,Prince Edward Island,50 to 64 years,Both sexes,97.3
2015,Prince Edward Island,50 to 64 years,Males,92.5
2016,Prince Edward Island,50 to 64 years,Males,94.6
2017,Prince Edward Island,50 to 64 years,Males,91.2
2018,Prince Edward Island,50 to 64 years,Males,90.1
2019,Prince Edward Island,50 to 64 years,Males,94.9
2020,Prince Edward Island,50 to 64 years,Males,97.6
2015,Prince Edward Island,50 to 64 years,Females,92.8
2016,Prince Edward Island,50 to 64 years,Females,91.0
2017,Prince Edward Island,50 to 64 years,Females,86.8
2018,Prince Edward Island,50 to 64 years,Females,91.2
2019,Prince Edward Island,50 to 64 years,Females,96.4
2020,Prince Edward Island,50 to 64 years,Females,97.0
2015,Prince Edward Island,65 years and over,Both sexes,92.0
2016,Prince Edward Island,65 years and over,Both sexes,93.3
2017,Prince Edward Island,65 years and over,Both sexes,91.8
2018,Prince Edward Island,65 years and over,Both sexes,94.0
