Year,Industries,Environmental protection activities or management practices,Value
2019,Plastics and rubber products manufacturing,"Protection and remediation of soil, groundwater and surface water",4.4
2019,Plastics and rubber products manufacturing,Protection of biodiversity and habitat,
2019,Plastics and rubber products manufacturing,Noise and vibration abatement,5.5
2019,Machinery manufacturing,"Total, environmental protection activities",88.3
2019,Machinery manufacturing,Wastewater management,58.9
2019,Machinery manufacturing,Air pollution management,16.1
2019,Machinery manufacturing,"Protection and remediation of soil, groundwater and surface water",3.5
2019,Machinery manufacturing,Protection of biodiversity and habitat,0.9
2019,Machinery manufacturing,Noise and vibration abatement,7.3
2019,Furniture and related product manufacturing,"Total, environmental protection activities",90.8
2019,Furniture and related product manufacturing,Wastewater management,55.8
2019,Furniture and related product manufacturing,Air pollution management,10.0
2019,Furniture and related product manufacturing,"Protection and remediation of soil, groundwater and surface water",
2019,Furniture and related product manufacturing,Protection of biodiversity and habitat,0.0
2019,Furniture and related product manufacturing,Noise and vibration abatement,5.7
2019,Other manufacturing industries,"Total, environmental protection activities",81.4
2019,Other manufacturing industries,Wastewater management,52.0
2019,Other manufacturing industries,Air pollution management,7.1
2019,Other manufacturing industries,"Protection and remediation of soil, groundwater and surface water",1.1
2019,Other manufacturing industries,Protection of biodiversity and habitat,
2019,Other manufacturing industries,Noise and vibration abatement,0.8
2019,Pipeline transportation,"Total, environmental protection activities",96.0
2019,Pipeline transportation,Wastewater management,72.0
2019,Pipeline transportation,Air pollution management,60.0
2019,Pipeline transportation,"Protection and remediation of soil, groundwater and surface water",62.0
2019,Pipeline transportation,Protection of biodiversity and habitat,68.0
2019,Pipeline transportation,Noise and vibration abatement,38.0
2020,"Total, industries",Wastewater management,61.6
2020,"Total, industries",Air pollution management,14.4
2020,"Total, industries","Protection and remediation of soil, groundwater and surface water",8.7
2020,"Total, industries",Protection of biodiversity and habitat,3.7
2020,"Total, industries",Noise and vibration abatement,4.9
2020,Logging (except contract),"Total, environmental protection activities",65.8
2020,Logging (except contract),Wastewater management,49.0
2020,Logging (except contract),Air pollution management,4.1
2020,Logging (except contract),"Protection and remediation of soil, groundwater and surface water",11.9
2020,Logging (except contract),Protection of biodiversity and habitat,11.5
2020,Logging (except contract),Noise and vibration abatement,
2020,Oil and gas extraction,"Total, environmental protection activities",83.8
2020,Oil and gas extraction,Wastewater management,67.1
2020,Oil and gas extraction,Air pollution management,61.1
2020,Oil and gas extraction,"Protection and remediation of soil, groundwater and surface water",66.4
2020,Oil and gas extraction,Protection of biodiversity and habitat,39.5
2020,Oil and gas extraction,Noise and vibration abatement,17.9
2020,Mining and quarrying,"Total, environmental protection activities",96.7
2020,Mining and quarrying,Wastewater management,88.0
2020,Mining and quarrying,Air pollution management,59.8
2020,Mining and quarrying,"Protection and remediation of soil, groundwater and surface water",58.7
2020,Mining and quarrying,Protection of biodiversity and habitat,44.6
2020,Mining and quarrying,Noise and vibration abatement,16.3
2020,"Electric power generation, transmission and distribution","Total, environmental protection activities",85.0
2020,"Electric power generation, transmission and distribution",Wastewater management,69.7
2020,"Electric power generation, transmission and distribution",Air pollution management,33.9
2020,"Electric power generation, transmission and distribution","Protection and remediation of soil, groundwater and surface water",29.9
2020,"Electric power generation, transmission and distribution",Protection of biodiversity and habitat,28.2
2020,"Electric power generation, transmission and distribution",Noise and vibration abatement,20.7
2020,Natural gas distribution,"Total, environmental protection activities",69.7
2020,Natural gas distribution,Wastewater management,60.6
2020,Natural gas distribution,Air pollution management,48.5
2020,Natural gas distribution,"Protection and remediation of soil, groundwater and surface water",45.5
2020,Natural gas distribution,Protection of biodiversity and habitat,36.4
2020,Natural gas distribution,Noise and vibration abatement,33.3
2020,Food manufacturing,"Total, environmental protection activities",96.1
2020,Food manufacturing,Wastewater management,80.8
2020,Food manufacturing,Air pollution management,19.9
2020,Food manufacturing,"Protection and remediation of soil, groundwater and surface water",5.3
2020,Food manufacturing,Protection of biodiversity and habitat,0.8
2020,Food manufacturing,Noise and vibration abatement,4.6
2020,Beverage and tobacco product manufacturing,"Total, environmental protection activities",94.7
2020,Beverage and tobacco product manufacturing,Wastewater management,75.7
2020,Beverage and tobacco product manufacturing,Air pollution management,6.1
2020,Beverage and tobacco product manufacturing,"Protection and remediation of soil, groundwater and surface water",5.8
2020,Beverage and tobacco product manufacturing,Protection of biodiversity and habitat,5.1
2020,Beverage and tobacco product manufacturing,Noise and vibration abatement,6.7
2020,Wood product manufacturing,"Total, environmental protection activities",90.2
2020,Wood product manufacturing,Wastewater management,65.8
2020,Wood product manufacturing,Air pollution management,18.1
2020,Wood product manufacturing,"Protection and remediation of soil, groundwater and surface water",18.9
2020,Wood product manufacturing,Protection of biodiversity and habitat,6.4
2020,Wood product manufacturing,Noise and vibration abatement,6.8
2020,Paper manufacturing,"Total, environmental protection activities",97.0
2020,Paper manufacturing,Wastewater management,82.0
2020,Paper manufacturing,Air pollution management,45.8
2020,Paper manufacturing,"Protection and remediation of soil, groundwater and surface water",33.4
2020,Paper manufacturing,Protection of biodiversity and habitat,12.9
2020,Paper manufacturing,Noise and vibration abatement,18.4
2020,Petroleum and coal product manufacturing,"Total, environmental protection activities",92.3
2020,Petroleum and coal product manufacturing,Wastewater management,80.8
2020,Petroleum and coal product manufacturing,Air pollution management,76.9
2020,Petroleum and coal product manufacturing,"Protection and remediation of soil, groundwater and surface water",69.2
2020,Petroleum and coal product manufacturing,Protection of biodiversity and habitat,38.5
2020,Petroleum and coal product manufacturing,Noise and vibration abatement,38.5
2020,Chemical manufacturing,"Total, environmental protection activities",94.6
2020,Chemical manufacturing,Wastewater management,78.9
2020,Chemical manufacturing,Air pollution management,39.9
2020,Chemical manufacturing,"Protection and remediation of soil, groundwater and surface water",23.7
2020,Chemical manufacturing,Protection of biodiversity and habitat,4.7
2020,Chemical manufacturing,Noise and vibration abatement,12.9
2020,Non-metallic mineral product manufacturing,"Total, environmental protection activities",93.1
2020,Non-metallic mineral product manufacturing,Wastewater management,72.6
