Year,Geography,Type of charging or fuelling stations,GeoCode,Value
2018,Newfoundland and Labrador,Electric,10,17
2019,Newfoundland and Labrador,Total electric charging and alternative fuelling stations,10,18
2019,Newfoundland and Labrador,Electric,10,18
2021,Newfoundland and Labrador,Total electric charging and alternative fuelling stations,10,50
2021,Newfoundland and Labrador,Electric,10,50
2022,Newfoundland and Labrador,Total electric charging and alternative fuelling stations,10,100
2022,Newfoundland and Labrador,Electric,10,100
2023,Newfoundland and Labrador,Total electric charging and alternative fuelling stations,10,122
2023,Newfoundland and Labrador,Electric,10,121
2023,Newfoundland and Labrador,Propane,10,1
2024,Newfoundland and Labrador,Total electric charging and alternative fuelling stations,10,130
2024,Newfoundland and Labrador,Electric,10,129
2025,Newfoundland and Labrador,Total electric charging and alternative fuelling stations,10,151
2025,Newfoundland and Labrador,Electric,10,149
2025,Newfoundland and Labrador,Propane,10,2
2015,Northwest Territories,Total electric charging and alternative fuelling stations,61,1
2015,Northwest Territories,Propane,61,1
2020,Northwest Territories,Total electric charging and alternative fuelling stations,61,2
2020,Northwest Territories,Electric,61,1
2023,Northwest Territories,Total electric charging and alternative fuelling stations,61,3
2023,Northwest Territories,Electric,61,2
2024,Northwest Territories,Total electric charging and alternative fuelling stations,61,8
2024,Northwest Territories,Electric,61,7
2025,Northwest Territories,Total electric charging and alternative fuelling stations,61,14
2025,Northwest Territories,Electric,61,13
2012,Nova Scotia,Total electric charging and alternative fuelling stations,12,1
2012,Nova Scotia,Electric,12,1
2013,Nova Scotia,Total electric charging and alternative fuelling stations,12,4
2013,Nova Scotia,Electric,12,3
2013,Nova Scotia,Propane,12,1
2014,Nova Scotia,Total electric charging and alternative fuelling stations,12,10
2014,Nova Scotia,Electric,12,9
2015,Nova Scotia,Total electric charging and alternative fuelling stations,12,22
2015,Nova Scotia,Electric,12,20
2015,Nova Scotia,Propane,12,2
2016,Nova Scotia,Total electric charging and alternative fuelling stations,12,24
2016,Nova Scotia,Electric,12,22
2017,Nova Scotia,Total electric charging and alternative fuelling stations,12,27
2017,Nova Scotia,Electric,12,25
2018,Nova Scotia,Total electric charging and alternative fuelling stations,12,28
2018,Nova Scotia,Electric,12,26
2019,Nova Scotia,Total electric charging and alternative fuelling stations,12,47
2019,Nova Scotia,Electric,12,45
2020,Nova Scotia,Total electric charging and alternative fuelling stations,12,55
2020,Nova Scotia,Electric,12,53
2021,Nova Scotia,Total electric charging and alternative fuelling stations,12,77
2021,Nova Scotia,Electric,12,74
2021,Nova Scotia,Propane,12,3
2022,Nova Scotia,Total electric charging and alternative fuelling stations,12,149
2022,Nova Scotia,Electric,12,145
2022,Nova Scotia,Propane,12,4
2023,Nova Scotia,Total electric charging and alternative fuelling stations,12,223
2023,Nova Scotia,Electric,12,219
2024,Nova Scotia,Total electric charging and alternative fuelling stations,12,270
2024,Nova Scotia,Electric,12,266
2025,Nova Scotia,Total electric charging and alternative fuelling stations,12,303
2025,Nova Scotia,Electric,12,298
2025,Nova Scotia,Propane,12,5
2010,Ontario,Total electric charging and alternative fuelling stations,35,30
2010,Ontario,Electric,35,2
2010,Ontario,Propane,35,28
2011,Ontario,Total electric charging and alternative fuelling stations,35,38
2011,Ontario,Electric,35,10
2012,Ontario,Total electric charging and alternative fuelling stations,35,48
2012,Ontario,Electric,35,20
