Year,Geography,Value
2014,Manitoba,1.2
2015,Manitoba,1.2
2016,Manitoba,1.2
2017,Manitoba,1.2
2018,Manitoba,
2000,Saskatchewan,1.1
2001,Saskatchewan,1.2
2002,Saskatchewan,1.2
2003,Saskatchewan,1.1
2004,Saskatchewan,1.0
2005,Saskatchewan,1.0
2006,Saskatchewan,1.0
2007,Saskatchewan,1.0
2008,Saskatchewan,0.8
2009,Saskatchewan,1.0
2010,Saskatchewan,0.9
2011,Saskatchewan,0.8
2012,Saskatchewan,0.8
2013,Saskatchewan,0.9
2014,Saskatchewan,0.8
2015,Saskatchewan,1.0
2016,Saskatchewan,0.9
2017,Saskatchewan,0.8
2018,Saskatchewan,
2000,Alberta,0.9
2001,Alberta,1.0
2002,Alberta,1.1
2003,Alberta,1.1
2004,Alberta,1.2
2005,Alberta,1.1
2006,Alberta,1.1
2007,Alberta,1.0
2008,Alberta,1.0
2009,Alberta,1.2
2010,Alberta,1.1
2011,Alberta,1.1
2012,Alberta,1.2
2013,Alberta,1.1
2014,Alberta,1.0
2015,Alberta,1.1
2016,Alberta,1.1
2017,Alberta,1.0
2018,Alberta,
2000,British Columbia,1.2
2001,British Columbia,1.3
2002,British Columbia,1.4
2003,British Columbia,1.3
2004,British Columbia,1.4
2005,British Columbia,1.4
2006,British Columbia,1.3
2007,British Columbia,1.4
2008,British Columbia,1.4
2009,British Columbia,1.5
2010,British Columbia,1.5
2011,British Columbia,1.4
2012,British Columbia,1.4
2013,British Columbia,1.4
2014,British Columbia,1.3
2015,British Columbia,1.4
2016,British Columbia,1.6
2017,British Columbia,1.5
2018,British Columbia,
2000,"Total, Organisation for Economic Co-operation and Development (OECD)",2.1
2001,"Total, Organisation for Economic Co-operation and Development (OECD)",2.1
2002,"Total, Organisation for Economic Co-operation and Development (OECD)",2.1
2003,"Total, Organisation for Economic Co-operation and Development (OECD)",2.1
2004,"Total, Organisation for Economic Co-operation and Development (OECD)",2.1
2005,"Total, Organisation for Economic Co-operation and Development (OECD)",2.1
2006,"Total, Organisation for Economic Co-operation and Development (OECD)",2.1
2007,"Total, Organisation for Economic Co-operation and Development (OECD)",2.2
2008,"Total, Organisation for Economic Co-operation and Development (OECD)",2.2
2009,"Total, Organisation for Economic Co-operation and Development (OECD)",2.3
2010,"Total, Organisation for Economic Co-operation and Development (OECD)",2.3
2011,"Total, Organisation for Economic Co-operation and Development (OECD)",2.3
2012,"Total, Organisation for Economic Co-operation and Development (OECD)",2.3
2013,"Total, Organisation for Economic Co-operation and Development (OECD)",2.3
2014,"Total, Organisation for Economic Co-operation and Development (OECD)",2.3
2015,"Total, Organisation for Economic Co-operation and Development (OECD)",2.3
2016,"Total, Organisation for Economic Co-operation and Development (OECD)",2.3
2017,"Total, Organisation for Economic Co-operation and Development (OECD)",2.3
2018,"Total, Organisation for Economic Co-operation and Development (OECD)",2.4
