Year,Units,Geography,Land use category,Water quality,Value
2016-2018,Percentage,Great Lakes and St. Lawrence River,Undeveloped,Poor,0
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Agriculture,Excellent,0
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Agriculture,Good,3
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Agriculture,Fair,4
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Agriculture,Marginal,0
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Agriculture,Poor,0
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Forestry,Excellent,0
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Forestry,Good,1
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Forestry,Fair,0
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Forestry,Marginal,0
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Forestry,Poor,0
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Mining,Excellent,0
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Mining,Good,3
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Mining,Fair,2
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Mining,Marginal,0
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Mining,Poor,0
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Populated,Excellent,0
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Populated,Good,0
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Populated,Fair,1
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Populated,Marginal,0
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Populated,Poor,0
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Mixed pressures,Excellent,0
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Mixed pressures,Good,6
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Mixed pressures,Fair,18
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Mixed pressures,Marginal,13
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Mixed pressures,Poor,2
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Undeveloped,Excellent,0
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Undeveloped,Good,4
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Undeveloped,Fair,1
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Undeveloped,Marginal,0
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Undeveloped,Poor,0
2016-2018,Percentage,Hudson Bay,Agriculture,Excellent,0
2016-2018,Percentage,Hudson Bay,Agriculture,Good,11
2016-2018,Percentage,Hudson Bay,Agriculture,Fair,22
2016-2018,Percentage,Hudson Bay,Agriculture,Marginal,9
2016-2018,Percentage,Hudson Bay,Agriculture,Poor,2
2016-2018,Percentage,Hudson Bay,Forestry,Excellent,0
2016-2018,Percentage,Hudson Bay,Forestry,Good,0
2016-2018,Percentage,Hudson Bay,Forestry,Fair,0
