Year,data.Geography,data.Core public infrastructure assets,data.Type of municipality by population size,GeoCode,Value
2016,data.New Brunswick,data.Potable water,data.All municipalities,13,43.14
2016,data.New Brunswick,data.Potable water,data.All urban municipalities,13,39.13
2016,data.New Brunswick,data.Potable water,"data.Urban municipalities, population 1 to 4,999",13,41.67
2016,data.New Brunswick,data.Potable water,"data.Urban municipalities, population 5,000 to 29,999",13,50.0
2016,data.New Brunswick,data.Potable water,"data.Urban municipalities, population 30,000 or more",13,0.0
2016,data.New Brunswick,data.Potable water,data.All rural municipalities,13,46.43
2016,data.New Brunswick,data.Potable water,"data.Rural municipalities, population 1 to 4,999",13,45.83
2016,data.New Brunswick,data.Potable water,"data.Rural municipalities, population 5,000 or more",13,20.0
2016,data.New Brunswick,data.Stormwater,data.All municipalities,13,59.02
2016,data.New Brunswick,data.Stormwater,data.All urban municipalities,13,55.56
2016,data.New Brunswick,data.Stormwater,"data.Urban municipalities, population 1 to 4,999",13,50.0
2016,data.New Brunswick,data.Stormwater,"data.Urban municipalities, population 5,000 to 29,999",13,75.0
2016,data.New Brunswick,data.Stormwater,"data.Urban municipalities, population 30,000 or more",13,66.67
2016,data.New Brunswick,data.Stormwater,data.All rural municipalities,13,61.76
2016,data.New Brunswick,data.Stormwater,"data.Rural municipalities, population 1 to 4,999",13,65.52
2016,data.New Brunswick,data.Stormwater,"data.Rural municipalities, population 5,000 or more",13,60.0
2016,data.New Brunswick,data.Wastewater,data.All municipalities,13,43.55
2016,data.New Brunswick,data.Wastewater,data.All urban municipalities,13,46.43
2016,data.New Brunswick,data.Wastewater,"data.Urban municipalities, population 1 to 4,999",13,41.18
2016,data.New Brunswick,data.Wastewater,"data.Urban municipalities, population 5,000 to 29,999",13,75.0
2016,data.New Brunswick,data.Wastewater,"data.Urban municipalities, population 30,000 or more",13,0.0
2016,data.New Brunswick,data.Wastewater,data.All rural municipalities,13,44.12
2016,data.New Brunswick,data.Wastewater,"data.Rural municipalities, population 1 to 4,999",13,50.0
2016,data.New Brunswick,data.Wastewater,"data.Rural municipalities, population 5,000 or more",13,0.0
2016,data.New Brunswick,data.Solid waste,data.All municipalities,13,5.0
2016,data.New Brunswick,data.Solid waste,data.All urban municipalities,13,0.0
2016,data.New Brunswick,data.Solid waste,"data.Urban municipalities, population 1 to 4,999",13,0.0
2016,data.New Brunswick,data.Solid waste,"data.Urban municipalities, population 5,000 to 29,999",13,0.0
2016,data.New Brunswick,data.Solid waste,"data.Urban municipalities, population 30,000 or more",13,0.0
2016,data.New Brunswick,data.Solid waste,data.All rural municipalities,13,7.69
2016,data.New Brunswick,data.Solid waste,"data.Rural municipalities, population 1 to 4,999",13,10.0
2016,data.New Brunswick,data.Solid waste,"data.Rural municipalities, population 5,000 or more",13,0.0
2016,data.Quebec,data.Potable water,data.All municipalities,24,26.7
2016,data.Quebec,data.Potable water,data.All urban municipalities,24,25.81
2016,data.Quebec,data.Potable water,"data.Urban municipalities, population 1 to 4,999",24,18.92
