Year,data.Geography,data.Sources of waste for disposal,GeoCode,Value
2010,data.Prince Edward Island,data.Non-residential sources of waste for disposal,11,
2010,data.Nova Scotia,data.All sources of waste for disposal,12,389.8
2010,data.Nova Scotia,data.Residential sources of waste for disposal,12,154.5
2010,data.Nova Scotia,data.Non-residential sources of waste for disposal,12,235.3
2010,data.New Brunswick,data.All sources of waste for disposal,13,631.1
2010,data.New Brunswick,data.Residential sources of waste for disposal,13,291.5
2010,data.New Brunswick,data.Non-residential sources of waste for disposal,13,339.7
2010,data.Quebec,data.All sources of waste for disposal,24,730.9
2010,data.Quebec,data.Residential sources of waste for disposal,24,359.8
2010,data.Quebec,data.Non-residential sources of waste for disposal,24,371.1
2010,data.Ontario,data.All sources of waste for disposal,35,704.0
2010,data.Ontario,data.Residential sources of waste for disposal,35,243.9
2010,data.Ontario,data.Non-residential sources of waste for disposal,35,460.1
2010,data.Manitoba,data.All sources of waste for disposal,46,835.9
2010,data.Manitoba,data.Residential sources of waste for disposal,46,371.7
2010,data.Manitoba,data.Non-residential sources of waste for disposal,46,464.2
2010,data.Saskatchewan,data.All sources of waste for disposal,47,891.4
2010,data.Saskatchewan,data.Residential sources of waste for disposal,47,269.8
2010,data.Saskatchewan,data.Non-residential sources of waste for disposal,47,621.6
2010,data.Alberta,data.All sources of waste for disposal,48,1049.7
2010,data.Alberta,data.Residential sources of waste for disposal,48,292.9
2010,data.Alberta,data.Non-residential sources of waste for disposal,48,756.8
2010,data.British Columbia,data.All sources of waste for disposal,59,595.3
2010,data.British Columbia,data.Residential sources of waste for disposal,59,213.6
2010,data.British Columbia,data.Non-residential sources of waste for disposal,59,381.7
2010,"data.Yukon, Northwest Territories and Nunavut",data.All sources of waste for disposal,,
2010,"data.Yukon, Northwest Territories and Nunavut",data.Residential sources of waste for disposal,,
2010,"data.Yukon, Northwest Territories and Nunavut",data.Non-residential sources of waste for disposal,,
2012,data.Canada,data.Residential sources of waste for disposal,,279.0
2012,data.Canada,data.Non-residential sources of waste for disposal,,432.0
2012,data.Newfoundland and Labrador,data.All sources of waste for disposal,10,743.9
2012,data.Newfoundland and Labrador,data.Residential sources of waste for disposal,10,
2012,data.Newfoundland and Labrador,data.Non-residential sources of waste for disposal,10,
2012,data.Prince Edward Island,data.All sources of waste for disposal,11,
2012,data.Prince Edward Island,data.Residential sources of waste for disposal,11,
2012,data.Prince Edward Island,data.Non-residential sources of waste for disposal,11,
2012,data.Nova Scotia,data.All sources of waste for disposal,12,386.9
2012,data.Nova Scotia,data.Residential sources of waste for disposal,12,154.3
2012,data.Nova Scotia,data.Non-residential sources of waste for disposal,12,232.6
2012,data.New Brunswick,data.All sources of waste for disposal,13,650.0
2012,data.New Brunswick,data.Residential sources of waste for disposal,13,284.5
2012,data.New Brunswick,data.Non-residential sources of waste for disposal,13,365.5
2012,data.Quebec,data.All sources of waste for disposal,24,692.8
2012,data.Quebec,data.Residential sources of waste for disposal,24,347.8
2012,data.Quebec,data.Non-residential sources of waste for disposal,24,345.0
2012,data.Ontario,data.All sources of waste for disposal,35,687.7
2012,data.Ontario,data.Residential sources of waste for disposal,35,253.1
2012,data.Ontario,data.Non-residential sources of waste for disposal,35,434.7
2012,data.Manitoba,data.All sources of waste for disposal,46,814.1
2012,data.Manitoba,data.Residential sources of waste for disposal,46,355.4
2012,data.Manitoba,data.Non-residential sources of waste for disposal,46,458.8
2012,data.Saskatchewan,data.All sources of waste for disposal,47,883.7
2012,data.Saskatchewan,data.Residential sources of waste for disposal,47,291.6
2012,data.Saskatchewan,data.Non-residential sources of waste for disposal,47,592.1
2012,data.Alberta,data.All sources of waste for disposal,48,1010.2
2012,data.Alberta,data.Residential sources of waste for disposal,48,303.6
2012,data.Alberta,data.Non-residential sources of waste for disposal,48,706.6
2012,data.British Columbia,data.All sources of waste for disposal,59,570.2
2012,data.British Columbia,data.Residential sources of waste for disposal,59,207.5
2012,data.British Columbia,data.Non-residential sources of waste for disposal,59,362.8
2012,"data.Yukon, Northwest Territories and Nunavut",data.All sources of waste for disposal,,
2012,"data.Yukon, Northwest Territories and Nunavut",data.Residential sources of waste for disposal,,
2012,"data.Yukon, Northwest Territories and Nunavut",data.Non-residential sources of waste for disposal,,
2014,data.Canada,data.Residential sources of waste for disposal,,276.6
2014,data.Canada,data.Non-residential sources of waste for disposal,,422.2
2014,data.Newfoundland and Labrador,data.All sources of waste for disposal,10,786.0
2014,data.Newfoundland and Labrador,data.Residential sources of waste for disposal,10,
2014,data.Newfoundland and Labrador,data.Non-residential sources of waste for disposal,10,
2014,data.Prince Edward Island,data.All sources of waste for disposal,11,
2014,data.Prince Edward Island,data.Residential sources of waste for disposal,11,
2014,data.Prince Edward Island,data.Non-residential sources of waste for disposal,11,
2014,data.Nova Scotia,data.All sources of waste for disposal,12,388.0
2014,data.Nova Scotia,data.Residential sources of waste for disposal,12,171.3
2014,data.Nova Scotia,data.Non-residential sources of waste for disposal,12,216.7
2014,data.New Brunswick,data.All sources of waste for disposal,13,669.5
2014,data.New Brunswick,data.Residential sources of waste for disposal,13,309.0
2014,data.New Brunswick,data.Non-residential sources of waste for disposal,13,360.5
2014,data.Quebec,data.All sources of waste for disposal,24,664.3
2014,data.Quebec,data.Residential sources of waste for disposal,24,347.4
2014,data.Quebec,data.Non-residential sources of waste for disposal,24,316.9
2014,data.Ontario,data.All sources of waste for disposal,35,673.1
2014,data.Ontario,data.Residential sources of waste for disposal,35,256.3
2014,data.Ontario,data.Non-residential sources of waste for disposal,35,416.7
2014,data.Manitoba,data.All sources of waste for disposal,46,774.2
2014,data.Manitoba,data.Residential sources of waste for disposal,46,260.4
2014,data.Manitoba,data.Non-residential sources of waste for disposal,46,513.9
2014,data.Saskatchewan,data.All sources of waste for disposal,47,845.1
2014,data.Saskatchewan,data.Residential sources of waste for disposal,47,297.8
2014,data.Saskatchewan,data.Non-residential sources of waste for disposal,47,547.3
2014,data.Alberta,data.All sources of waste for disposal,48,1003.4
2014,data.Alberta,data.Residential sources of waste for disposal,48,301.4
2014,data.Alberta,data.Non-residential sources of waste for disposal,48,702.1
2014,data.British Columbia,data.All sources of waste for disposal,59,578.1
2014,data.British Columbia,data.Residential sources of waste for disposal,59,200.0
2014,data.British Columbia,data.Non-residential sources of waste for disposal,59,378.1
2014,"data.Yukon, Northwest Territories and Nunavut",data.All sources of waste for disposal,,
2014,"data.Yukon, Northwest Territories and Nunavut",data.Residential sources of waste for disposal,,
2014,"data.Yukon, Northwest Territories and Nunavut",data.Non-residential sources of waste for disposal,,
2016,data.Canada,data.Residential sources of waste for disposal,,283.2
2016,data.Canada,data.Non-residential sources of waste for disposal,,407.5
2016,data.Newfoundland and Labrador,data.All sources of waste for disposal,10,746.7
2016,data.Newfoundland and Labrador,data.Residential sources of waste for disposal,10,
2016,data.Newfoundland and Labrador,data.Non-residential sources of waste for disposal,10,
2016,data.Prince Edward Island,data.All sources of waste for disposal,11,
2016,data.Prince Edward Island,data.Residential sources of waste for disposal,11,
2016,data.Prince Edward Island,data.Non-residential sources of waste for disposal,11,
2016,data.Nova Scotia,data.All sources of waste for disposal,12,398.0
2016,data.Nova Scotia,data.Residential sources of waste for disposal,12,180.1
2016,data.Nova Scotia,data.Non-residential sources of waste for disposal,12,217.9
2016,data.New Brunswick,data.All sources of waste for disposal,13,659.1
2016,data.New Brunswick,data.Residential sources of waste for disposal,13,295.9
2016,data.New Brunswick,data.Non-residential sources of waste for disposal,13,363.2
2016,data.Quebec,data.All sources of waste for disposal,24,651.1
2016,data.Quebec,data.Residential sources of waste for disposal,24,365.9
2016,data.Quebec,data.Non-residential sources of waste for disposal,24,285.2
2016,data.Ontario,data.All sources of waste for disposal,35,682.9
2016,data.Ontario,data.Residential sources of waste for disposal,35,266.9
2016,data.Ontario,data.Non-residential sources of waste for disposal,35,416.0
2016,data.Manitoba,data.All sources of waste for disposal,46,737.6
2016,data.Manitoba,data.Residential sources of waste for disposal,46,234.8
2016,data.Manitoba,data.Non-residential sources of waste for disposal,46,502.8
2016,data.Saskatchewan,data.All sources of waste for disposal,47,790.9
2016,data.Saskatchewan,data.Residential sources of waste for disposal,47,302.4
2016,data.Saskatchewan,data.Non-residential sources of waste for disposal,47,488.5
2016,data.Alberta,data.All sources of waste for disposal,48,1002.5
2016,data.Alberta,data.Residential sources of waste for disposal,48,309.8
2016,data.Alberta,data.Non-residential sources of waste for disposal,48,692.7
2016,data.British Columbia,data.All sources of waste for disposal,59,538.0
2016,data.British Columbia,data.Residential sources of waste for disposal,59,191.3
2016,data.British Columbia,data.Non-residential sources of waste for disposal,59,346.7
2016,"data.Yukon, Northwest Territories and Nunavut",data.All sources of waste for disposal,,
2016,"data.Yukon, Northwest Territories and Nunavut",data.Residential sources of waste for disposal,,
2016,"data.Yukon, Northwest Territories and Nunavut",data.Non-residential sources of waste for disposal,,
2018,data.Canada,data.Residential sources of waste for disposal,,292.7
2018,data.Canada,data.Non-residential sources of waste for disposal,,401.6
2018,data.Newfoundland and Labrador,data.All sources of waste for disposal,10,711.0
2018,data.Newfoundland and Labrador,data.Residential sources of waste for disposal,10,301.8
2018,data.Newfoundland and Labrador,data.Non-residential sources of waste for disposal,10,409.2
2018,data.Prince Edward Island,data.All sources of waste for disposal,11,351.8
2018,data.Prince Edward Island,data.Residential sources of waste for disposal,11,133.9
2018,data.Prince Edward Island,data.Non-residential sources of waste for disposal,11,217.9
2018,data.Nova Scotia,data.All sources of waste for disposal,12,409.4
2018,data.Nova Scotia,data.Residential sources of waste for disposal,12,163.9
2018,data.Nova Scotia,data.Non-residential sources of waste for disposal,12,245.5
2018,data.New Brunswick,data.All sources of waste for disposal,13,659.3
2018,data.New Brunswick,data.Residential sources of waste for disposal,13,288.3
2018,data.New Brunswick,data.Non-residential sources of waste for disposal,13,370.9
2018,data.Quebec,data.All sources of waste for disposal,24,662.1
2018,data.Quebec,data.Residential sources of waste for disposal,24,384.6
2018,data.Quebec,data.Non-residential sources of waste for disposal,24,277.5
2018,data.Ontario,data.All sources of waste for disposal,35,704.9
2018,data.Ontario,data.Residential sources of waste for disposal,35,278.2
2018,data.Ontario,data.Non-residential sources of waste for disposal,35,426.7
2018,data.Manitoba,data.All sources of waste for disposal,46,712.0
2018,data.Manitoba,data.Residential sources of waste for disposal,46,246.7
2018,data.Manitoba,data.Non-residential sources of waste for disposal,46,465.3
2018,data.Saskatchewan,data.All sources of waste for disposal,47,744.3
2018,data.Saskatchewan,data.Residential sources of waste for disposal,47,328.1
2018,data.Saskatchewan,data.Non-residential sources of waste for disposal,47,416.2
2018,data.Alberta,data.All sources of waste for disposal,48,958.1
2018,data.Alberta,data.Residential sources of waste for disposal,48,311.0
2018,data.Alberta,data.Non-residential sources of waste for disposal,48,647.1
2018,data.British Columbia,data.All sources of waste for disposal,59,542.8
2018,data.British Columbia,data.Residential sources of waste for disposal,59,198.3
2018,data.British Columbia,data.Non-residential sources of waste for disposal,59,344.6
2018,"data.Yukon, Northwest Territories and Nunavut",data.All sources of waste for disposal,,
2018,"data.Yukon, Northwest Territories and Nunavut",data.Residential sources of waste for disposal,,
2018,"data.Yukon, Northwest Territories and Nunavut",data.Non-residential sources of waste for disposal,,
2020,data.Canada,data.Residential sources of waste for disposal,,285.8
2020,data.Canada,data.Non-residential sources of waste for disposal,,401.1
2020,data.Newfoundland and Labrador,data.All sources of waste for disposal,10,700.5
2020,data.Newfoundland and Labrador,data.Residential sources of waste for disposal,10,309.1
2020,data.Newfoundland and Labrador,data.Non-residential sources of waste for disposal,10,391.4
2020,data.Prince Edward Island,data.All sources of waste for disposal,11,345.9
2020,data.Prince Edward Island,data.Residential sources of waste for disposal,11,125.1
2020,data.Prince Edward Island,data.Non-residential sources of waste for disposal,11,220.9
2020,data.Nova Scotia,data.All sources of waste for disposal,12,407.2
2020,data.Nova Scotia,data.Residential sources of waste for disposal,12,160.7
2020,data.Nova Scotia,data.Non-residential sources of waste for disposal,12,246.5
2020,data.New Brunswick,data.All sources of waste for disposal,13,637.1
2020,data.New Brunswick,data.Residential sources of waste for disposal,13,274.7
2020,data.New Brunswick,data.Non-residential sources of waste for disposal,13,362.4
2020,data.Quebec,data.All sources of waste for disposal,24,671.1
2020,data.Quebec,data.Residential sources of waste for disposal,24,398.5
2020,data.Quebec,data.Non-residential sources of waste for disposal,24,272.7
2020,data.Ontario,data.All sources of waste for disposal,35,699.5
2020,data.Ontario,data.Residential sources of waste for disposal,35,259.0
2020,data.Ontario,data.Non-residential sources of waste for disposal,35,440.5
2020,data.Manitoba,data.All sources of waste for disposal,46,677.2
2020,data.Manitoba,data.Residential sources of waste for disposal,46,235.9
2020,data.Manitoba,data.Non-residential sources of waste for disposal,46,441.3
2020,data.Saskatchewan,data.All sources of waste for disposal,47,723.4
2020,data.Saskatchewan,data.Residential sources of waste for disposal,47,345.1
2020,data.Saskatchewan,data.Non-residential sources of waste for disposal,47,378.3
2020,data.Alberta,data.All sources of waste for disposal,48,915.8
2020,data.Alberta,data.Residential sources of waste for disposal,48,280.4
2020,data.Alberta,data.Non-residential sources of waste for disposal,48,635.4
2020,data.British Columbia,data.All sources of waste for disposal,59,543.8
2020,data.British Columbia,data.Residential sources of waste for disposal,59,207.2
2020,data.British Columbia,data.Non-residential sources of waste for disposal,59,336.6
2020,"data.Yukon, Northwest Territories and Nunavut",data.All sources of waste for disposal,,
2020,"data.Yukon, Northwest Territories and Nunavut",data.Residential sources of waste for disposal,,
2020,"data.Yukon, Northwest Territories and Nunavut",data.Non-residential sources of waste for disposal,,
