Year,Geography,Sources of waste for disposal,Value
2014,Nova Scotia,Non-residential sources of waste for disposal,216.7
2016,Nova Scotia,Non-residential sources of waste for disposal,217.9
2018,Nova Scotia,Non-residential sources of waste for disposal,245.5
2002,Nova Scotia,Residential sources of waste for disposal,181.4
2004,Nova Scotia,Residential sources of waste for disposal,190.8
2006,Nova Scotia,Residential sources of waste for disposal,180.6
2008,Nova Scotia,Residential sources of waste for disposal,158.2
2010,Nova Scotia,Residential sources of waste for disposal,154.5
2012,Nova Scotia,Residential sources of waste for disposal,154.3
2014,Nova Scotia,Residential sources of waste for disposal,171.3
2016,Nova Scotia,Residential sources of waste for disposal,180.1
2018,Nova Scotia,Residential sources of waste for disposal,163.9
2002,Ontario,All sources of waste for disposal,797.5
2004,Ontario,All sources of waste for disposal,791.6
2006,Ontario,All sources of waste for disposal,766.9
2008,Ontario,All sources of waste for disposal,747.6
2010,Ontario,All sources of waste for disposal,704.0
2012,Ontario,All sources of waste for disposal,687.7
2014,Ontario,All sources of waste for disposal,673.1
2016,Ontario,All sources of waste for disposal,682.9
2018,Ontario,All sources of waste for disposal,704.9
2002,Ontario,Non-residential sources of waste for disposal,513.2
2004,Ontario,Non-residential sources of waste for disposal,510.0
2006,Ontario,Non-residential sources of waste for disposal,497.5
2008,Ontario,Non-residential sources of waste for disposal,496.8
2010,Ontario,Non-residential sources of waste for disposal,460.1
2012,Ontario,Non-residential sources of waste for disposal,434.7
2014,Ontario,Non-residential sources of waste for disposal,416.7
2016,Ontario,Non-residential sources of waste for disposal,416.0
2018,Ontario,Non-residential sources of waste for disposal,426.7
2002,Ontario,Residential sources of waste for disposal,284.3
2004,Ontario,Residential sources of waste for disposal,281.6
2006,Ontario,Residential sources of waste for disposal,269.4
2008,Ontario,Residential sources of waste for disposal,250.8
2010,Ontario,Residential sources of waste for disposal,243.9
2012,Ontario,Residential sources of waste for disposal,253.1
2014,Ontario,Residential sources of waste for disposal,256.3
2016,Ontario,Residential sources of waste for disposal,266.9
2018,Ontario,Residential sources of waste for disposal,278.2
2018,Prince Edward Island,All sources of waste for disposal,351.8
2018,Prince Edward Island,Non-residential sources of waste for disposal,217.9
2018,Prince Edward Island,Residential sources of waste for disposal,133.9
2002,Quebec,All sources of waste for disposal,785.6
2004,Quebec,All sources of waste for disposal,856.5
2006,Quebec,All sources of waste for disposal,892.1
2008,Quebec,All sources of waste for disposal,791.9
2010,Quebec,All sources of waste for disposal,730.9
2012,Quebec,All sources of waste for disposal,692.8
2014,Quebec,All sources of waste for disposal,664.3
2016,Quebec,All sources of waste for disposal,651.1
2018,Quebec,All sources of waste for disposal,662.1
2002,Quebec,Non-residential sources of waste for disposal,533.6
2004,Quebec,Non-residential sources of waste for disposal,563.3
2006,Quebec,Non-residential sources of waste for disposal,501.6
2008,Quebec,Non-residential sources of waste for disposal,424.8
2010,Quebec,Non-residential sources of waste for disposal,371.1
2012,Quebec,Non-residential sources of waste for disposal,345.0
2014,Quebec,Non-residential sources of waste for disposal,316.9
2016,Quebec,Non-residential sources of waste for disposal,285.2
2018,Quebec,Non-residential sources of waste for disposal,277.5
2002,Quebec,Residential sources of waste for disposal,252.0
2004,Quebec,Residential sources of waste for disposal,293.1
2006,Quebec,Residential sources of waste for disposal,390.5
2008,Quebec,Residential sources of waste for disposal,367.0
2010,Quebec,Residential sources of waste for disposal,359.8
2012,Quebec,Residential sources of waste for disposal,347.8
2014,Quebec,Residential sources of waste for disposal,347.4
2016,Quebec,Residential sources of waste for disposal,365.9
2018,Quebec,Residential sources of waste for disposal,384.6
2002,Saskatchewan,All sources of waste for disposal,797.7
2004,Saskatchewan,All sources of waste for disposal,797.1
2006,Saskatchewan,All sources of waste for disposal,840.2
2008,Saskatchewan,All sources of waste for disposal,887.5
2010,Saskatchewan,All sources of waste for disposal,891.4
2012,Saskatchewan,All sources of waste for disposal,883.7
