Year,Géographie,Type de poste de recharge ou de ravitaillement,GeoCode,Value
2023,Nouvelle-Écosse,Électrique,12,223
2024,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,246
2024,Nouvelle-Écosse,Électrique,12,242
2010,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,30
2010,Ontario,Électrique,35,5
2010,Ontario,Propane,35,25
2011,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,42
2011,Ontario,Électrique,35,17
2012,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,55
2012,Ontario,Électrique,35,30
2013,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,84
2013,Ontario,Électrique,35,57
2013,Ontario,Propane,35,27
2014,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,123
2014,Ontario,Gaz naturel comprimé,35,1
2014,Ontario,Électrique,35,94
2014,Ontario,Propane,35,28
2015,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,227
2015,Ontario,Gaz naturel comprimé,35,2
2015,Ontario,Électrique,35,196
2015,Ontario,Propane,35,29
2016,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,288
2016,Ontario,Électrique,35,254
2016,Ontario,Hydrogène,35,1
2016,Ontario,Propane,35,31
2017,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,477
2017,Ontario,Gaz naturel comprimé,35,4
2017,Ontario,Électrique,35,400
2017,Ontario,Propane,35,72
2018,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,603
2018,Ontario,Gaz naturel comprimé,35,7
2018,Ontario,Électrique,35,519
2018,Ontario,Propane,35,76
2019,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,913
2019,Ontario,Gaz naturel comprimé,35,8
2019,Ontario,Électrique,35,823
2019,Ontario,Propane,35,81
2020,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,1153
2020,Ontario,Électrique,35,1056
2020,Ontario,Propane,35,88
2021,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,1624
2021,Ontario,Gaz naturel comprimé,35,9
2021,Ontario,Électrique,35,1525
2021,Ontario,Propane,35,89
2022,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,2488
2022,Ontario,Gaz naturel comprimé,35,12
2022,Ontario,Électrique,35,2371
2022,Ontario,Propane,35,104
2023,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,3873
2023,Ontario,Électrique,35,3751
2023,Ontario,Hydrogène,35,2
2023,Ontario,Propane,35,108
2024,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,4427
2024,Ontario,Électrique,35,4302
2024,Ontario,Propane,35,111
2012,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,2
2012,Île-du-Prince-Édouard,Électrique,11,2
2013,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,4
2013,Île-du-Prince-Édouard,Électrique,11,4
2014,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,8
2014,Île-du-Prince-Édouard,Électrique,11,8
2015,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,14
2015,Île-du-Prince-Édouard,Électrique,11,14
2017,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,18
2017,Île-du-Prince-Édouard,Électrique,11,18
2018,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,21
2018,Île-du-Prince-Édouard,Électrique,11,21
2019,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,22
2019,Île-du-Prince-Édouard,Électrique,11,22
2020,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,29
2020,Île-du-Prince-Édouard,Électrique,11,29
2021,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,54
2021,Île-du-Prince-Édouard,Électrique,11,54
2022,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,92
2022,Île-du-Prince-Édouard,Électrique,11,91
2022,Île-du-Prince-Édouard,Propane,11,1
2023,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,155
2023,Île-du-Prince-Édouard,Électrique,11,154
2024,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,167
2024,Île-du-Prince-Édouard,Électrique,11,166
2010,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,9
2010,Québec,Électrique,24,2
2011,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,10
2011,Québec,Électrique,24,3
2012,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,21
2012,Québec,Électrique,24,14
2013,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,42
2013,Québec,Gaz naturel comprimé,24,2
2013,Québec,Électrique,24,33
2014,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,80
2014,Québec,Électrique,24,70
2014,Québec,Propane,24,8
2015,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,178
2015,Québec,Gaz naturel comprimé,24,3
2015,Québec,Électrique,24,160
2015,Québec,Propane,24,15
2016,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,282
2016,Québec,Électrique,24,264
2017,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,480
2017,Québec,Gaz naturel comprimé,24,4
2017,Québec,Électrique,24,318
2017,Québec,Propane,24,158
2018,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,519
2018,Québec,Gaz naturel comprimé,24,6
2018,Québec,Électrique,24,350
2018,Québec,Hydrogène,24,1
2018,Québec,Propane,24,162
2019,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,2037
2019,Québec,Gaz naturel comprimé,24,8
2019,Québec,Électrique,24,1861
2019,Québec,Gaz naturel liquéfié,24,1
2019,Québec,Propane,24,166
2020,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,2434
2020,Québec,Électrique,24,2258
2021,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,2829
2021,Québec,Électrique,24,2651
2021,Québec,Propane,24,168
2022,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,3401
2022,Québec,Gaz naturel comprimé,24,10
2022,Québec,Électrique,24,3220
2022,Québec,Hydrogène,24,2
2023,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,4309
2023,Québec,Gaz naturel comprimé,24,12
2023,Québec,Électrique,24,4120
2023,Québec,Hydrogène,24,5
2023,Québec,Propane,24,171
2024,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,4751
2024,Québec,Gaz naturel comprimé,24,13
2024,Québec,Électrique,24,4561
2014,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,10
2014,Saskatchewan,Électrique,47,5
2014,Saskatchewan,Propane,47,5
2015,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,18
2015,Saskatchewan,Électrique,47,12
2015,Saskatchewan,Propane,47,6
2016,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,22
2016,Saskatchewan,Électrique,47,16
2017,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,27
2017,Saskatchewan,Électrique,47,21
2018,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,95
2018,Saskatchewan,Électrique,47,23
2018,Saskatchewan,Propane,47,72
2019,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,105
2019,Saskatchewan,Électrique,47,31
2019,Saskatchewan,Propane,47,74
2020,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,113
2020,Saskatchewan,Électrique,47,39
2021,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,131
2021,Saskatchewan,Électrique,47,57
2022,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,177
2022,Saskatchewan,Gaz naturel comprimé,47,1
2022,Saskatchewan,Électrique,47,102
2023,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,220
2023,Saskatchewan,Électrique,47,145
2024,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,250
2024,Saskatchewan,Électrique,47,175
2019,Yukon,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,60,4
2019,Yukon,Électrique,60,2
2019,Yukon,Propane,60,2
2020,Yukon,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,60,7
2020,Yukon,Électrique,60,5
2022,Yukon,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,60,14
2022,Yukon,Électrique,60,12
2023,Yukon,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,60,39
2023,Yukon,Électrique,60,37
2024,Yukon,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,60,40
2024,Yukon,Électrique,60,38
