Year,Géographie,Genre,Principal mode de transport pour la navette,Value
2016,"Montréal (RMR), Qc",Total,Transport en commun,22.3
2016,"Montréal (RMR), Qc",Total,Transport actif,7.2
2016,"Ottawa - Gatineau (partie du Québec) (RMR), Qc",Total,Transport durable,20.5
2016,"Ottawa - Gatineau (partie du Québec) (RMR), Qc",Total,Transport en commun,14.5
2016,"Ottawa - Gatineau (partie du Québec) (RMR), Qc",Total,Transport actif,6.0
2016,"Québec (RMR), Qc",Total,Transport durable,18.7
2016,"Québec (RMR), Qc",Total,Transport en commun,11.1
2016,"Québec (RMR), Qc",Total,Transport actif,7.6
2016,"Saguenay (RMR), Qc",Total,Transport durable,6.5
2016,"Saguenay (RMR), Qc",Total,Transport en commun,2.2
2016,"Saguenay (RMR), Qc",Total,Transport actif,4.3
2016,"Sherbrooke (RMR), Qc",Total,Transport durable,10.5
2016,"Sherbrooke (RMR), Qc",Total,Transport en commun,4.2
2016,"Sherbrooke (RMR), Qc",Total,Transport actif,6.3
2016,"Trois-Rivières (RMR), Qc",Total,Transport durable,7.6
2016,"Trois-Rivières (RMR), Qc",Total,Transport en commun,2.3
2016,"Trois-Rivières (RMR), Qc",Total,Transport actif,5.3
2016,Ontario,Total,Transport durable,21.1
2016,Ontario,Total,Transport en commun,14.6
2016,Ontario,Total,Transport actif,6.5
2016,"Barrie (RMR), Ont.",Total,Transport durable,8.4
2016,"Barrie (RMR), Ont.",Total,Transport en commun,4.3
2016,"Barrie (RMR), Ont.",Total,Transport actif,4.1
2016,"Belleville - Quinte West (RMR), Ont.",Total,Transport durable,8.5
2016,"Belleville - Quinte West (RMR), Ont.",Total,Transport en commun,2.3
2016,"Belleville - Quinte West (RMR), Ont.",Total,Transport actif,6.2
2016,"Brantford (RMR), Ont.",Total,Transport durable,7.7
2016,"Brantford (RMR), Ont.",Total,Transport en commun,3.1
2016,"Brantford (RMR), Ont.",Total,Transport actif,4.6
2016,"Grand Sudbury (RMR), Ont.",Total,Transport durable,9.8
2016,"Grand Sudbury (RMR), Ont.",Total,Transport en commun,4.9
2016,"Grand Sudbury (RMR), Ont.",Total,Transport actif,4.9
2016,"Guelph (RMR), Ont.",Total,Transport durable,13.3
2016,"Guelph (RMR), Ont.",Total,Transport en commun,6.4
2016,"Guelph (RMR), Ont.",Total,Transport actif,6.9
2016,"Hamilton (RMR), Ont.",Total,Transport durable,14.9
2016,"Hamilton (RMR), Ont.",Total,Transport en commun,9.8
2016,"Hamilton (RMR), Ont.",Total,Transport actif,5.1
2016,"Kingston (RMR), Ont.",Total,Transport durable,16.3
2016,"Kingston (RMR), Ont.",Total,Transport en commun,6.8
2016,"Kingston (RMR), Ont.",Total,Transport actif,9.5
2016,"Kitchener - Cambridge - Waterloo (RMR), Ont.",Total,Transport durable,11.5
2016,"Kitchener - Cambridge - Waterloo (RMR), Ont.",Total,Transport en commun,6.0
2016,"Kitchener - Cambridge - Waterloo (RMR), Ont.",Total,Transport actif,5.5
2016,"London (RMR), Ont.",Total,Transport durable,13.9
2016,"London (RMR), Ont.",Total,Transport en commun,7.2
2016,"London (RMR), Ont.",Total,Transport actif,6.7
2016,"Oshawa (RMR), Ont.",Total,Transport durable,13.0
2016,"Oshawa (RMR), Ont.",Total,Transport en commun,9.6
2016,"Oshawa (RMR), Ont.",Total,Transport actif,3.4
2016,"Ottawa - Gatineau (partie de l'Ontario) (RMR), Ont.",Total,Transport durable,29.2
2016,"Ottawa - Gatineau (partie de l'Ontario) (RMR), Ont.",Total,Transport en commun,19.6
2016,"Ottawa - Gatineau (partie de l'Ontario) (RMR), Ont.",Total,Transport actif,9.6
2016,"Peterborough (RMR), Ont.",Total,Transport durable,12.2
2016,"Peterborough (RMR), Ont.",Total,Transport en commun,3.9
2016,"Peterborough (RMR), Ont.",Total,Transport actif,8.3
2016,"St. Catharines - Niagara (RMR), Ont.",Total,Transport durable,8.1
2016,"St. Catharines - Niagara (RMR), Ont.",Total,Transport en commun,2.7
2016,"St. Catharines - Niagara (RMR), Ont.",Total,Transport actif,5.4
2016,"Thunder Bay (RMR), Ont.",Total,Transport durable,9.3
2016,"Thunder Bay (RMR), Ont.",Total,Transport en commun,3.9
2016,"Thunder Bay (RMR), Ont.",Total,Transport actif,5.4
2016,"Toronto (RMR), Ont.",Total,Transport durable,31.0
2016,"Toronto (RMR), Ont.",Total,Transport en commun,24.3
2016,"Toronto (RMR), Ont.",Total,Transport actif,6.7
2016,"Windsor (RMR), Ont.",Total,Transport durable,7.7
2016,"Windsor (RMR), Ont.",Total,Transport en commun,3.4
2016,"Windsor (RMR), Ont.",Total,Transport actif,4.3
2016,Manitoba,Total,Transport durable,16.5
2016,Manitoba,Total,Transport en commun,9.4
2016,Manitoba,Total,Transport actif,7.1
2016,"Winnipeg (RMR), Man.",Total,Transport durable,19.9
2016,"Winnipeg (RMR), Man.",Total,Transport en commun,13.6
2016,"Winnipeg (RMR), Man.",Total,Transport actif,6.3
2016,Saskatchewan,Total,Transport durable,9.7
2016,Saskatchewan,Total,Transport en commun,2.9
2016,Saskatchewan,Total,Transport actif,6.8
2016,"Regina (RMR), Sask.",Total,Transport durable,10.2
2016,"Regina (RMR), Sask.",Total,Transport en commun,5.1
2016,"Regina (RMR), Sask.",Total,Transport actif,5.1
2016,"Saskatoon (RMR), Sask.",Total,Transport durable,10.4
2016,"Saskatoon (RMR), Sask.",Total,Transport en commun,4.3
2016,"Saskatoon (RMR), Sask.",Total,Transport actif,6.1
2016,Alberta,Total,Transport durable,15.7
2016,Alberta,Total,Transport en commun,10.1
2016,Alberta,Total,Transport actif,5.6
2016,"Calgary (RMR), Alb.",Total,Transport durable,20.6
2016,"Calgary (RMR), Alb.",Total,Transport en commun,14.4
2016,"Calgary (RMR), Alb.",Total,Transport actif,6.2
2016,"Edmonton (RMR), Alb.",Total,Transport durable,16.0
2016,"Edmonton (RMR), Alb.",Total,Transport en commun,11.3
2016,"Edmonton (RMR), Alb.",Total,Transport actif,4.7
2016,"Lethbridge (RMR), Alb.",Total,Transport durable,8.3
2016,"Lethbridge (RMR), Alb.",Total,Transport en commun,2.9
2016,"Lethbridge (RMR), Alb.",Total,Transport actif,5.4
2016,Colombie-Britannique,Total,Transport durable,22.4
2016,Colombie-Britannique,Total,Transport en commun,13.1
2016,Colombie-Britannique,Total,Transport actif,9.3
2016,"Abbotsford - Mission (RMR), C.-B.",Total,Transport durable,6.2
2016,"Abbotsford - Mission (RMR), C.-B.",Total,Transport en commun,2.5
2016,"Abbotsford - Mission (RMR), C.-B.",Total,Transport actif,3.7
2016,"Kelowna (RMR), C.-B.",Total,Transport durable,11.1
2016,"Kelowna (RMR), C.-B.",Total,Transport en commun,3.9
2016,"Kelowna (RMR), C.-B.",Total,Transport actif,7.2
2016,"Vancouver (RMR), C.-B.",Total,Transport durable,29.5
2016,"Vancouver (RMR), C.-B.",Total,Transport en commun,20.4
2016,"Vancouver (RMR), C.-B.",Total,Transport actif,9.1
2016,"Victoria (RMR), C.-B.",Total,Transport durable,27.8
2016,"Victoria (RMR), C.-B.",Total,Transport en commun,10.9
2016,"Victoria (RMR), C.-B.",Total,Transport actif,16.9
2016,Yukon,Total,Transport durable,15.8
2016,Yukon,Total,Transport en commun,3.9
2016,Yukon,Total,Transport actif,11.9
2016,Territoires du Nord-Ouest,Total,Transport durable,26.7
2016,Territoires du Nord-Ouest,Total,Transport en commun,1.3
2016,Territoires du Nord-Ouest,Total,Transport actif,25.4
2016,Nunavut,Total,Transport durable,45.1
2016,Nunavut,Total,Transport en commun,0.8
2016,Nunavut,Total,Transport actif,44.3
2021,Terre-Neuve-et-Labrador,Total,Transport durable,7.0
2021,Terre-Neuve-et-Labrador,Total,Transport en commun,2.0
2021,Terre-Neuve-et-Labrador,Total,Transport actif,5.0
2021,Terre-Neuve-et-Labrador,Hommes+,Transport durable,6.7
2021,Terre-Neuve-et-Labrador,Hommes+,Transport en commun,2.4
2021,Terre-Neuve-et-Labrador,Hommes+,Transport actif,4.3
2021,Terre-Neuve-et-Labrador,Femmes+,Transport durable,7.2
2021,Terre-Neuve-et-Labrador,Femmes+,Transport en commun,1.6
2021,Terre-Neuve-et-Labrador,Femmes+,Transport actif,5.6
2021,"St. John's (RMR), T.-N.-L.",Total,Transport durable,7.9
2021,"St. John's (RMR), T.-N.-L.",Total,Transport en commun,3.2
2021,"St. John's (RMR), T.-N.-L.",Total,Transport actif,4.7
2021,"St. John's (RMR), T.-N.-L.",Hommes+,Transport durable,7.9
2021,"St. John's (RMR), T.-N.-L.",Hommes+,Transport en commun,3.3
2021,"St. John's (RMR), T.-N.-L.",Hommes+,Transport actif,4.6
2021,"St. John's (RMR), T.-N.-L.",Femmes+,Transport durable,7.8
2021,"St. John's (RMR), T.-N.-L.",Femmes+,Transport en commun,3.1
2021,"St. John's (RMR), T.-N.-L.",Femmes+,Transport actif,4.8
2021,Île-du-Prince-Édouard,Total,Transport durable,5.9
2021,Île-du-Prince-Édouard,Total,Transport en commun,1.4
2021,Île-du-Prince-Édouard,Total,Transport actif,4.5
2021,Île-du-Prince-Édouard,Hommes+,Transport durable,5.4
2021,Île-du-Prince-Édouard,Hommes+,Transport en commun,1.3
2021,Île-du-Prince-Édouard,Hommes+,Transport actif,4.1
2021,Île-du-Prince-Édouard,Femmes+,Transport durable,6.4
2021,Île-du-Prince-Édouard,Femmes+,Transport en commun,1.5
2021,Île-du-Prince-Édouard,Femmes+,Transport actif,4.8
2021,Nouvelle-Écosse,Total,Transport durable,10.3
2021,Nouvelle-Écosse,Total,Transport en commun,4.1
2021,Nouvelle-Écosse,Total,Transport actif,6.1
2021,Nouvelle-Écosse,Hommes+,Transport durable,9.1
2021,Nouvelle-Écosse,Hommes+,Transport en commun,3.5
2021,Nouvelle-Écosse,Hommes+,Transport actif,5.7
2021,Nouvelle-Écosse,Femmes+,Transport durable,11.5
2021,Nouvelle-Écosse,Femmes+,Transport en commun,4.9
2021,Nouvelle-Écosse,Femmes+,Transport actif,6.6
2021,"Halifax (RMR), N.-É.",Total,Transport durable,15.3
2021,"Halifax (RMR), N.-É.",Total,Transport en commun,7.7
2021,"Halifax (RMR), N.-É.",Total,Transport actif,7.6
2021,"Halifax (RMR), N.-É.",Hommes+,Transport durable,13.0
2021,"Halifax (RMR), N.-É.",Hommes+,Transport en commun,6.1
2021,"Halifax (RMR), N.-É.",Hommes+,Transport actif,6.9
2021,"Halifax (RMR), N.-É.",Femmes+,Transport durable,18.0
2021,"Halifax (RMR), N.-É.",Femmes+,Transport en commun,9.4
2021,"Halifax (RMR), N.-É.",Femmes+,Transport actif,8.5
2021,Nouveau-Brunswick,Total,Transport durable,6.1
2021,Nouveau-Brunswick,Total,Transport en commun,1.5
2021,Nouveau-Brunswick,Total,Transport actif,4.6
2021,Nouveau-Brunswick,Hommes+,Transport durable,5.7
2021,Nouveau-Brunswick,Hommes+,Transport en commun,1.3
2021,Nouveau-Brunswick,Hommes+,Transport actif,4.4
2021,Nouveau-Brunswick,Femmes+,Transport durable,6.5
2021,Nouveau-Brunswick,Femmes+,Transport en commun,1.7
2021,Nouveau-Brunswick,Femmes+,Transport actif,4.8
2021,"Moncton (RMR), N.-B.",Total,Transport durable,7.8
2021,"Moncton (RMR), N.-B.",Total,Transport en commun,2.2
2021,"Moncton (RMR), N.-B.",Total,Transport actif,5.6
2021,"Moncton (RMR), N.-B.",Hommes+,Transport durable,6.8
2021,"Moncton (RMR), N.-B.",Hommes+,Transport en commun,1.7
2021,"Moncton (RMR), N.-B.",Hommes+,Transport actif,5.1
2021,"Moncton (RMR), N.-B.",Femmes+,Transport durable,8.9
2021,"Moncton (RMR), N.-B.",Femmes+,Transport en commun,2.7
2021,"Moncton (RMR), N.-B.",Femmes+,Transport actif,6.2
2021,"Saint John (RMR), N.-B.",Total,Transport durable,7.5
2021,"Saint John (RMR), N.-B.",Total,Transport en commun,2.7
2021,"Saint John (RMR), N.-B.",Total,Transport actif,4.7
2021,"Saint John (RMR), N.-B.",Hommes+,Transport durable,6.9
2021,"Saint John (RMR), N.-B.",Hommes+,Transport en commun,2.5
2021,"Saint John (RMR), N.-B.",Hommes+,Transport actif,4.5
2021,"Saint John (RMR), N.-B.",Femmes+,Transport durable,8.0
2021,"Saint John (RMR), N.-B.",Femmes+,Transport en commun,3.0
2021,"Saint John (RMR), N.-B.",Femmes+,Transport actif,5.0
2021,Québec,Total,Transport durable,15.9
2021,Québec,Total,Transport en commun,9.0
2021,Québec,Total,Transport actif,6.9
2021,Québec,Hommes+,Transport durable,13.4
2021,Québec,Hommes+,Transport en commun,7.1
2021,Québec,Hommes+,Transport actif,6.2
2021,Québec,Femmes+,Transport durable,18.6
2021,Québec,Femmes+,Transport en commun,11.1
2021,Québec,Femmes+,Transport actif,7.5
2021,"Montréal (RMR), Qc",Total,Transport durable,22.8
2021,"Montréal (RMR), Qc",Total,Transport en commun,15.3
2021,"Montréal (RMR), Qc",Total,Transport actif,7.5
2021,"Montréal (RMR), Qc",Hommes+,Transport durable,18.9
2021,"Montréal (RMR), Qc",Hommes+,Transport en commun,12.1
2021,"Montréal (RMR), Qc",Hommes+,Transport actif,6.7
2021,"Montréal (RMR), Qc",Femmes+,Transport durable,27.1
2021,"Montréal (RMR), Qc",Femmes+,Transport en commun,18.7
2021,"Montréal (RMR), Qc",Femmes+,Transport actif,8.4
2021,"Québec (RMR), Qc",Total,Transport durable,14.9
2021,"Québec (RMR), Qc",Total,Transport en commun,7.8
2021,"Québec (RMR), Qc",Total,Transport actif,7.2
2021,"Québec (RMR), Qc",Hommes+,Transport durable,12.9
2021,"Québec (RMR), Qc",Hommes+,Transport en commun,6.2
2021,"Québec (RMR), Qc",Hommes+,Transport actif,6.7
2021,"Québec (RMR), Qc",Femmes+,Transport durable,17.2
2021,"Québec (RMR), Qc",Femmes+,Transport en commun,9.5
2021,"Québec (RMR), Qc",Femmes+,Transport actif,7.7
2021,"Saguenay (RMR), Qc",Total,Transport durable,5.8
2021,"Saguenay (RMR), Qc",Total,Transport en commun,1.8
2021,"Saguenay (RMR), Qc",Total,Transport actif,4.0
2021,"Saguenay (RMR), Qc",Hommes+,Transport durable,5.3
2021,"Saguenay (RMR), Qc",Hommes+,Transport en commun,1.7
2021,"Saguenay (RMR), Qc",Hommes+,Transport actif,3.6
2021,"Saguenay (RMR), Qc",Femmes+,Transport durable,6.4
2021,"Saguenay (RMR), Qc",Femmes+,Transport en commun,2.0
2021,"Saguenay (RMR), Qc",Femmes+,Transport actif,4.5
2021,"Sherbrooke (RMR), Qc",Total,Transport durable,10.0
2021,"Sherbrooke (RMR), Qc",Total,Transport en commun,3.9
2021,"Sherbrooke (RMR), Qc",Total,Transport actif,6.2
2021,"Sherbrooke (RMR), Qc",Hommes+,Transport durable,9.6
2021,"Sherbrooke (RMR), Qc",Hommes+,Transport en commun,3.3
2021,"Sherbrooke (RMR), Qc",Hommes+,Transport actif,6.3
2021,"Sherbrooke (RMR), Qc",Femmes+,Transport durable,10.5
2021,"Sherbrooke (RMR), Qc",Femmes+,Transport en commun,4.5
2021,"Sherbrooke (RMR), Qc",Femmes+,Transport actif,6.0
2021,"Trois-Rivières (RMR), Qc",Total,Transport durable,7.4
2021,"Trois-Rivières (RMR), Qc",Total,Transport en commun,2.1
2021,"Trois-Rivières (RMR), Qc",Total,Transport actif,5.4
2021,"Trois-Rivières (RMR), Qc",Hommes+,Transport durable,6.9
2021,"Trois-Rivières (RMR), Qc",Hommes+,Transport en commun,1.5
2021,"Trois-Rivières (RMR), Qc",Hommes+,Transport actif,5.4
2021,"Trois-Rivières (RMR), Qc",Femmes+,Transport durable,8.0
2021,"Trois-Rivières (RMR), Qc",Femmes+,Transport en commun,2.7
2021,"Trois-Rivières (RMR), Qc",Femmes+,Transport actif,5.3
2021,Ontario,Total,Transport durable,14.0
2021,Ontario,Total,Transport en commun,8.6
2021,Ontario,Total,Transport actif,5.4
2021,Ontario,Hommes+,Transport durable,11.4
2021,Ontario,Hommes+,Transport en commun,6.6
2021,Ontario,Hommes+,Transport actif,4.8
2021,Ontario,Femmes+,Transport durable,17.3
2021,Ontario,Femmes+,Transport en commun,11.1
2021,Ontario,Femmes+,Transport actif,6.2
2021,"Barrie (RMR), Ont.",Total,Transport durable,6.2
2021,"Barrie (RMR), Ont.",Total,Transport en commun,2.8
2021,"Barrie (RMR), Ont.",Total,Transport actif,3.4
2021,"Barrie (RMR), Ont.",Hommes+,Transport durable,5.3
2021,"Barrie (RMR), Ont.",Hommes+,Transport en commun,2.3
2021,"Barrie (RMR), Ont.",Hommes+,Transport actif,3.0
2021,"Barrie (RMR), Ont.",Femmes+,Transport durable,7.4
2021,"Barrie (RMR), Ont.",Femmes+,Transport en commun,3.5
2021,"Barrie (RMR), Ont.",Femmes+,Transport actif,3.9
2021,"Belleville - Quinte West (RMR), Ont.",Total,Transport durable,6.7
2021,"Belleville - Quinte West (RMR), Ont.",Total,Transport en commun,1.8
2021,"Belleville - Quinte West (RMR), Ont.",Total,Transport actif,4.9
2021,"Belleville - Quinte West (RMR), Ont.",Hommes+,Transport durable,6.0
2021,"Belleville - Quinte West (RMR), Ont.",Hommes+,Transport en commun,1.2
2021,"Belleville - Quinte West (RMR), Ont.",Hommes+,Transport actif,4.8
2021,"Belleville - Quinte West (RMR), Ont.",Femmes+,Transport durable,7.6
2021,"Belleville - Quinte West (RMR), Ont.",Femmes+,Transport en commun,2.5
2021,"Belleville - Quinte West (RMR), Ont.",Femmes+,Transport actif,5.0
2021,"Brantford (RMR), Ont.",Total,Transport durable,6.1
2021,"Brantford (RMR), Ont.",Total,Transport en commun,2.3
2021,"Brantford (RMR), Ont.",Total,Transport actif,3.8
2021,"Brantford (RMR), Ont.",Hommes+,Transport durable,5.1
2021,"Brantford (RMR), Ont.",Hommes+,Transport en commun,1.8
2021,"Brantford (RMR), Ont.",Hommes+,Transport actif,3.4
2021,"Brantford (RMR), Ont.",Femmes+,Transport durable,7.3
2021,"Brantford (RMR), Ont.",Femmes+,Transport en commun,3.0
2021,"Brantford (RMR), Ont.",Femmes+,Transport actif,4.3
2021,"Grand Sudbury (RMR), Ont.",Total,Transport durable,7.9
2021,"Grand Sudbury (RMR), Ont.",Total,Transport en commun,4.0
2021,"Grand Sudbury (RMR), Ont.",Total,Transport actif,3.9
2021,"Grand Sudbury (RMR), Ont.",Hommes+,Transport durable,6.7
2021,"Grand Sudbury (RMR), Ont.",Hommes+,Transport en commun,3.2
2021,"Grand Sudbury (RMR), Ont.",Hommes+,Transport actif,3.5
2021,"Grand Sudbury (RMR), Ont.",Femmes+,Transport durable,9.5
2021,"Grand Sudbury (RMR), Ont.",Femmes+,Transport en commun,5.1
2021,"Grand Sudbury (RMR), Ont.",Femmes+,Transport actif,4.3
2021,"Guelph (RMR), Ont.",Total,Transport durable,9.8
2021,"Guelph (RMR), Ont.",Total,Transport en commun,4.0
2021,"Guelph (RMR), Ont.",Total,Transport actif,5.8
2021,"Guelph (RMR), Ont.",Hommes+,Transport durable,9.2
2021,"Guelph (RMR), Ont.",Hommes+,Transport en commun,3.6
2021,"Guelph (RMR), Ont.",Hommes+,Transport actif,5.5
2021,"Guelph (RMR), Ont.",Femmes+,Transport durable,10.7
2021,"Guelph (RMR), Ont.",Femmes+,Transport en commun,4.5
2021,"Guelph (RMR), Ont.",Femmes+,Transport actif,6.2
2021,"Hamilton (RMR), Ont.",Total,Transport durable,11.4
2021,"Hamilton (RMR), Ont.",Total,Transport en commun,6.5
2021,"Hamilton (RMR), Ont.",Total,Transport actif,5.0
2021,"Hamilton (RMR), Ont.",Hommes+,Transport durable,9.2
2021,"Hamilton (RMR), Ont.",Hommes+,Transport en commun,5.0
2021,"Hamilton (RMR), Ont.",Hommes+,Transport actif,4.3
2021,"Hamilton (RMR), Ont.",Femmes+,Transport durable,14.1
2021,"Hamilton (RMR), Ont.",Femmes+,Transport en commun,8.2
2021,"Hamilton (RMR), Ont.",Femmes+,Transport actif,5.8
2021,"Kingston (RMR), Ont.",Total,Transport durable,13.2
2021,"Kingston (RMR), Ont.",Total,Transport en commun,4.9
2021,"Kingston (RMR), Ont.",Total,Transport actif,8.3
2021,"Kingston (RMR), Ont.",Hommes+,Transport durable,11.5
2021,"Kingston (RMR), Ont.",Hommes+,Transport en commun,3.8
2021,"Kingston (RMR), Ont.",Hommes+,Transport actif,7.7
2021,"Kingston (RMR), Ont.",Femmes+,Transport durable,15.1
2021,"Kingston (RMR), Ont.",Femmes+,Transport en commun,6.1
2021,"Kingston (RMR), Ont.",Femmes+,Transport actif,8.9
2021,"Kitchener - Cambridge - Waterloo (RMR), Ont.",Total,Transport durable,8.9
2021,"Kitchener - Cambridge - Waterloo (RMR), Ont.",Total,Transport en commun,4.6
2021,"Kitchener - Cambridge - Waterloo (RMR), Ont.",Total,Transport actif,4.2
2021,"Kitchener - Cambridge - Waterloo (RMR), Ont.",Hommes+,Transport durable,7.6
2021,"Kitchener - Cambridge - Waterloo (RMR), Ont.",Hommes+,Transport en commun,3.7
2021,"Kitchener - Cambridge - Waterloo (RMR), Ont.",Hommes+,Transport actif,3.8
2021,"Kitchener - Cambridge - Waterloo (RMR), Ont.",Femmes+,Transport durable,10.6
2021,"Kitchener - Cambridge - Waterloo (RMR), Ont.",Femmes+,Transport en commun,5.8
2021,"Kitchener - Cambridge - Waterloo (RMR), Ont.",Femmes+,Transport actif,4.8
2021,"London (RMR), Ont.",Total,Transport durable,10.1
2021,"London (RMR), Ont.",Total,Transport en commun,4.9
2021,"London (RMR), Ont.",Total,Transport actif,5.2
2021,"London (RMR), Ont.",Hommes+,Transport durable,8.8
2021,"London (RMR), Ont.",Hommes+,Transport en commun,3.8
2021,"London (RMR), Ont.",Hommes+,Transport actif,5.0
2021,"London (RMR), Ont.",Femmes+,Transport durable,11.6
2021,"London (RMR), Ont.",Femmes+,Transport en commun,6.2
2021,"London (RMR), Ont.",Femmes+,Transport actif,5.4
2021,"Oshawa (RMR), Ont.",Total,Transport durable,8.0
2021,"Oshawa (RMR), Ont.",Total,Transport en commun,5.1
2021,"Oshawa (RMR), Ont.",Total,Transport actif,2.9
2021,"Oshawa (RMR), Ont.",Hommes+,Transport durable,6.4
2021,"Oshawa (RMR), Ont.",Hommes+,Transport en commun,4.2
2021,"Oshawa (RMR), Ont.",Hommes+,Transport actif,2.3
2021,"Oshawa (RMR), Ont.",Femmes+,Transport durable,10.0
2021,"Oshawa (RMR), Ont.",Femmes+,Transport en commun,6.2
2021,"Oshawa (RMR), Ont.",Femmes+,Transport actif,3.7
2021,"Ottawa - Gatineau (RMR), Ont./Qc",Total,Transport durable,16.9
2021,"Ottawa - Gatineau (RMR), Ont./Qc",Total,Transport en commun,9.7
2021,"Ottawa - Gatineau (RMR), Ont./Qc",Total,Transport actif,7.2
2021,"Ottawa - Gatineau (RMR), Ont./Qc",Hommes+,Transport durable,14.7
2021,"Ottawa - Gatineau (RMR), Ont./Qc",Hommes+,Transport en commun,8.0
2021,"Ottawa - Gatineau (RMR), Ont./Qc",Hommes+,Transport actif,6.7
2021,"Ottawa - Gatineau (RMR), Ont./Qc",Femmes+,Transport durable,19.6
2021,"Ottawa - Gatineau (RMR), Ont./Qc",Femmes+,Transport en commun,11.6
2021,"Ottawa - Gatineau (RMR), Ont./Qc",Femmes+,Transport actif,7.9
2021,"Ottawa - Gatineau (partie de l'Ontario) (RMR), Ont.",Total,Transport durable,17.9
2021,"Ottawa - Gatineau (partie de l'Ontario) (RMR), Ont.",Total,Transport en commun,9.9
2021,"Ottawa - Gatineau (partie de l'Ontario) (RMR), Ont.",Total,Transport actif,8.1
2021,"Ottawa - Gatineau (partie de l'Ontario) (RMR), Ont.",Hommes+,Transport durable,15.7
2021,"Ottawa - Gatineau (partie de l'Ontario) (RMR), Ont.",Hommes+,Transport en commun,8.3
2021,"Ottawa - Gatineau (partie de l'Ontario) (RMR), Ont.",Hommes+,Transport actif,7.4
2021,"Ottawa - Gatineau (partie de l'Ontario) (RMR), Ont.",Femmes+,Transport durable,20.6
2021,"Ottawa - Gatineau (partie de l'Ontario) (RMR), Ont.",Femmes+,Transport en commun,11.8
2021,"Ottawa - Gatineau (partie de l'Ontario) (RMR), Ont.",Femmes+,Transport actif,8.8
2021,"Ottawa - Gatineau (partie du Québec) (RMR), Qc",Total,Transport durable,14.1
2021,"Ottawa - Gatineau (partie du Québec) (RMR), Qc",Total,Transport en commun,9.1
2021,"Ottawa - Gatineau (partie du Québec) (RMR), Qc",Total,Transport actif,5.1
2021,"Ottawa - Gatineau (partie du Québec) (RMR), Qc",Hommes+,Transport durable,12.0
2021,"Ottawa - Gatineau (partie du Québec) (RMR), Qc",Hommes+,Transport en commun,7.4
2021,"Ottawa - Gatineau (partie du Québec) (RMR), Qc",Hommes+,Transport actif,4.6
2021,"Ottawa - Gatineau (partie du Québec) (RMR), Qc",Femmes+,Transport durable,16.7
2021,"Ottawa - Gatineau (partie du Québec) (RMR), Qc",Femmes+,Transport en commun,11.1
2021,"Ottawa - Gatineau (partie du Québec) (RMR), Qc",Femmes+,Transport actif,5.6
2021,"Peterborough (RMR), Ont.",Total,Transport durable,9.4
2021,"Peterborough (RMR), Ont.",Total,Transport en commun,2.5
2021,"Peterborough (RMR), Ont.",Total,Transport actif,6.9
2021,"Peterborough (RMR), Ont.",Hommes+,Transport durable,8.5
2021,"Peterborough (RMR), Ont.",Hommes+,Transport en commun,1.7
2021,"Peterborough (RMR), Ont.",Hommes+,Transport actif,6.7
2021,"Peterborough (RMR), Ont.",Femmes+,Transport durable,10.4
