Year,Géographie,Sources des déchets à des fins d'élimination,GeoCode,Value
2016,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,11,
2016,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,11,
2016,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,398.0
2016,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,12,180.1
2016,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,12,217.9
2016,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,659.1
2016,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,13,295.9
2016,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,13,363.2
2016,Québec,Toutes les sources de déchets à des fins d'élimination,24,651.1
2016,Québec,Sources de déchets non résidentielles à des fins d'élimination,24,365.9
2016,Québec,Sources de déchets résidentielles à des fins d'élimination,24,285.2
2016,Ontario,Toutes les sources de déchets à des fins d'élimination,35,682.9
2016,Ontario,Sources de déchets non résidentielles à des fins d'élimination,35,266.9
2016,Ontario,Sources de déchets résidentielles à des fins d'élimination,35,416.0
2016,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,737.6
2016,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,46,234.8
2016,Manitoba,Sources de déchets résidentielles à des fins d'élimination,46,502.8
2016,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,790.9
2016,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,47,302.4
2016,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,47,488.5
2016,Alberta,Toutes les sources de déchets à des fins d'élimination,48,1002.5
2016,Alberta,Sources de déchets non résidentielles à des fins d'élimination,48,309.8
2016,Alberta,Sources de déchets résidentielles à des fins d'élimination,48,692.7
2016,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,538.0
2016,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,59,191.3
2016,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,59,346.7
2016,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,
2016,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,
2016,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,
2018,Canada,Sources de déchets non résidentielles à des fins d'élimination,,292.7
2018,Canada,Sources de déchets résidentielles à des fins d'élimination,,401.6
2018,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,711.0
2018,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,10,301.8
2018,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,10,409.2
2018,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,351.8
2018,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,11,133.9
2018,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,11,217.9
2018,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,409.4
2018,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,12,163.9
2018,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,12,245.5
2018,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,659.3
2018,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,13,288.3
2018,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,13,370.9
2018,Québec,Toutes les sources de déchets à des fins d'élimination,24,662.1
2018,Québec,Sources de déchets non résidentielles à des fins d'élimination,24,384.6
2018,Québec,Sources de déchets résidentielles à des fins d'élimination,24,277.5
2018,Ontario,Toutes les sources de déchets à des fins d'élimination,35,704.9
2018,Ontario,Sources de déchets non résidentielles à des fins d'élimination,35,278.2
2018,Ontario,Sources de déchets résidentielles à des fins d'élimination,35,426.7
2018,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,712.0
2018,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,46,246.7
2018,Manitoba,Sources de déchets résidentielles à des fins d'élimination,46,465.3
2018,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,744.3
2018,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,47,328.1
2018,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,47,416.2
2018,Alberta,Toutes les sources de déchets à des fins d'élimination,48,958.1
2018,Alberta,Sources de déchets non résidentielles à des fins d'élimination,48,311.0
2018,Alberta,Sources de déchets résidentielles à des fins d'élimination,48,647.1
2018,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,542.8
2018,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,59,198.3
2018,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,59,344.6
2018,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,
2018,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,
2018,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,
2020,Canada,Sources de déchets non résidentielles à des fins d'élimination,,285.8
2020,Canada,Sources de déchets résidentielles à des fins d'élimination,,401.1
2020,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,700.5
2020,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,10,309.1
2020,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,10,391.4
2020,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,345.9
2020,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,11,125.1
2020,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,11,220.9
2020,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,407.2
2020,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,12,160.7
2020,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,12,246.5
2020,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,637.1
2020,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,13,274.7
2020,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,13,362.4
2020,Québec,Toutes les sources de déchets à des fins d'élimination,24,671.1
2020,Québec,Sources de déchets non résidentielles à des fins d'élimination,24,398.5
2020,Québec,Sources de déchets résidentielles à des fins d'élimination,24,272.7
2020,Ontario,Toutes les sources de déchets à des fins d'élimination,35,699.5
2020,Ontario,Sources de déchets non résidentielles à des fins d'élimination,35,259.0
2020,Ontario,Sources de déchets résidentielles à des fins d'élimination,35,440.5
2020,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,677.2
2020,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,46,235.9
2020,Manitoba,Sources de déchets résidentielles à des fins d'élimination,46,441.3
2020,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,723.4
