Year,Industries,Environmental protection activities or management practices,Value
2020,"Total, industries",Wastewater management,65.1
2020,"Total, industries",Air pollution management,9.1
2020,"Total, industries","Protection and remediation of soil, groundwater and surface water",12.1
2020,"Total, industries",Protection of biodiversity and habitat,8.1
2020,"Total, industries",Noise and vibration abatement,
2020,"Total, industries",Wastewater management,65.9
2020,"Total, industries",Air pollution management,14.5
2020,"Total, industries","Protection and remediation of soil, groundwater and surface water",6.4
2020,"Total, industries",Protection of biodiversity and habitat,1.8
2020,"Total, industries",Noise and vibration abatement,4.1
2020,"Total, industries",Wastewater management,60.0
2020,"Total, industries",Air pollution management,14.5
2020,"Total, industries","Protection and remediation of soil, groundwater and surface water",7.0
2020,"Total, industries",Protection of biodiversity and habitat,1.6
2020,"Total, industries",Noise and vibration abatement,6.9
2020,"Total, industries",Wastewater management,66.9
2020,"Total, industries",Air pollution management,17.1
2020,"Total, industries","Protection and remediation of soil, groundwater and surface water",13.6
2020,"Total, industries",Protection of biodiversity and habitat,7.0
2020,"Total, industries",Noise and vibration abatement,4.6
2020,"Total, industries",Wastewater management,73.7
2020,"Total, industries",Air pollution management,13.7
2020,"Total, industries","Protection and remediation of soil, groundwater and surface water",6.8
2020,"Total, industries",Protection of biodiversity and habitat,1.5
2020,"Total, industries",Noise and vibration abatement,1.7
2020,"Total, industries",Wastewater management,71.4
2020,"Total, industries",Air pollution management,15.3
2020,"Total, industries","Protection and remediation of soil, groundwater and surface water",15.7
2020,"Total, industries",Protection of biodiversity and habitat,10.0
2020,"Total, industries",Noise and vibration abatement,6.0
2020,"Total, industries",Wastewater management,64.0
2020,"Total, industries",Air pollution management,18.4
2020,"Total, industries","Protection and remediation of soil, groundwater and surface water",14.8
2020,"Total, industries",Protection of biodiversity and habitat,7.7
2020,"Total, industries",Noise and vibration abatement,5.0
2020,"Total, industries",Wastewater management,53.6
2020,"Total, industries",Air pollution management,12.9
2020,"Total, industries","Protection and remediation of soil, groundwater and surface water",9.4
2020,"Total, industries",Protection of biodiversity and habitat,5.1
2020,"Total, industries",Noise and vibration abatement,3.8
2020,"Total, industries",Wastewater management,53.4
2020,"Total, industries",Air pollution management,12.8
2020,"Total, industries","Protection and remediation of soil, groundwater and surface water",8.9
2020,"Total, industries",Protection of biodiversity and habitat,4.6
2020,"Total, industries",Noise and vibration abatement,3.6
2020,"Total, industries",Wastewater management,58.5
2020,"Total, industries",Air pollution management,15.5
2020,"Total, industries","Protection and remediation of soil, groundwater and surface water",29.0
2020,"Total, industries",Protection of biodiversity and habitat,24.4
2020,"Total, industries",Noise and vibration abatement,10.9
2021,"Total, industries",Wastewater management,60.8
2021,"Total, industries",Air pollution management,16.4
2021,"Total, industries","Protection and remediation of soil, groundwater and surface water",11.1
2021,"Total, industries",Protection of biodiversity and habitat,4.9
2021,"Total, industries",Noise and vibration abatement,7.8
2021,Logging (except contract),"Total, environmental protection activities",70.4
2021,Logging (except contract),Wastewater management,57.6
2021,Logging (except contract),Air pollution management,0.0
2021,Logging (except contract),"Protection and remediation of soil, groundwater and surface water",5.1
2021,Logging (except contract),Protection of biodiversity and habitat,3.5
2021,Logging (except contract),Noise and vibration abatement,2.4
2021,Oil and gas extraction,"Total, environmental protection activities",91.9
2021,Oil and gas extraction,Wastewater management,79.8
2021,Oil and gas extraction,Air pollution management,73.2
2021,Oil and gas extraction,"Protection and remediation of soil, groundwater and surface water",84.1
