Year,Géographie,Infractions,GeoCode,Value
2018,Colombie-Britannique,Total des infractions sexuelles contre les enfants,,22.63
2019,Colombie-Britannique,Total des infractions sexuelles contre les enfants,,28.93
2020,Colombie-Britannique,Total des infractions sexuelles contre les enfants,,26.69
2015,Colombie-Britannique,Voies de fait graves (niveau 3),,6.93
2016,Colombie-Britannique,Voies de fait graves (niveau 3),,6.67
2017,Colombie-Britannique,Voies de fait graves (niveau 3),,7.3
2018,Colombie-Britannique,Voies de fait graves (niveau 3),,6.67
2019,Colombie-Britannique,Voies de fait graves (niveau 3),,6.72
2020,Colombie-Britannique,Voies de fait graves (niveau 3),,6.31
2015,Colombie-Britannique,Voies de fait armées ou causant des lésions corporelles (niveau 2),,144.54
2016,Colombie-Britannique,Voies de fait armées ou causant des lésions corporelles (niveau 2),,139.9
2017,Colombie-Britannique,Voies de fait armées ou causant des lésions corporelles (niveau 2),,138.9
2018,Colombie-Britannique,Voies de fait armées ou causant des lésions corporelles (niveau 2),,146.35
2019,Colombie-Britannique,Voies de fait armées ou causant des lésions corporelles (niveau 2),,176.12
2020,Colombie-Britannique,Voies de fait armées ou causant des lésions corporelles (niveau 2),,191.48
2015,Colombie-Britannique,Voies de fait simples (niveau 1),,466.75
2016,Colombie-Britannique,Voies de fait simples (niveau 1),,431.24
2017,Colombie-Britannique,Voies de fait simples (niveau 1),,418.59
2018,Colombie-Britannique,Voies de fait simples (niveau 1),,449.62
2019,Colombie-Britannique,Voies de fait simples (niveau 1),,577.0
2020,Colombie-Britannique,Voies de fait simples (niveau 1),,531.34
2015,Colombie-Britannique,Total des vols qualifiés,,76.31
2016,Colombie-Britannique,Total des vols qualifiés,,61.08
2017,Colombie-Britannique,Total des vols qualifiés,,50.45
2018,Colombie-Britannique,Total des vols qualifiés,,49.54
2019,Colombie-Britannique,Total des vols qualifiés,,56.3
2020,Colombie-Britannique,Total des vols qualifiés,,51.95
2015,Colombie-Britannique,Menaces,,215.27
2016,Colombie-Britannique,Menaces,,195.44
2017,Colombie-Britannique,Menaces,,175.68
2018,Colombie-Britannique,Menaces,,193.65
2019,Colombie-Britannique,Menaces,,321.96
2020,Colombie-Britannique,Menaces,,317.85
2015,Colombie-Britannique,Total des autres infractions avec violence,,10.15
2016,Colombie-Britannique,Total des autres infractions avec violence,,9.88
2017,Colombie-Britannique,Total des autres infractions avec violence,,10.16
2018,Colombie-Britannique,Total des autres infractions avec violence,,11.38
2019,Colombie-Britannique,Total des autres infractions avec violence,,15.16
2020,Colombie-Britannique,Total des autres infractions avec violence,,14.51
2015,Yukon,Total des infractions,60,25794.64
2016,Yukon,Total des infractions,60,23542.69
2017,Yukon,Total des infractions,60,22191.13
2018,Yukon,Total des infractions,60,21638.39
2019,Yukon,Total des infractions,60,26390.53
2020,Yukon,Total des infractions,60,25818.03
2015,Yukon,Homicide,,2.65
2016,Yukon,Homicide,,10.38
2017,Yukon,Homicide,,20.17
2018,Yukon,Homicide,,7.39
2019,Yukon,Homicide,,2.41
2020,Yukon,Homicide,,0.0
2015,Yukon,Total des autres infractions entraînant la mort,,0.0
2016,Yukon,Total des autres infractions entraînant la mort,,0.0
2017,Yukon,Total des autres infractions entraînant la mort,,0.0
2018,Yukon,Total des autres infractions entraînant la mort,,0.0
2019,Yukon,Total des autres infractions entraînant la mort,,0.0
2020,Yukon,Total des autres infractions entraînant la mort,,0.0
2015,Yukon,Tentative de meurtre,,10.61
2016,Yukon,Tentative de meurtre,,5.19
2017,Yukon,Tentative de meurtre,,5.04
2018,Yukon,Tentative de meurtre,,4.92
2019,Yukon,Tentative de meurtre,,2.41
2020,Yukon,Tentative de meurtre,,7.13
2015,Yukon,Agression sexuelle grave (niveau 3),,0.0
2016,Yukon,Agression sexuelle grave (niveau 3),,2.59
2017,Yukon,Agression sexuelle grave (niveau 3),,0.0
2018,Yukon,Agression sexuelle grave (niveau 3),,4.92
2019,Yukon,Agression sexuelle grave (niveau 3),,2.41
2020,Yukon,Agression sexuelle grave (niveau 3),,7.13
2015,Yukon,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,2.65
2016,Yukon,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.0
2017,Yukon,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,2.52
2018,Yukon,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,4.92
2019,Yukon,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,4.82
2020,Yukon,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,2.38
2015,Yukon,Agression sexuelle de niveau 1,,204.3
2016,Yukon,Agression sexuelle de niveau 1,,210.13
2017,Yukon,Agression sexuelle de niveau 1,,163.86
2018,Yukon,Agression sexuelle de niveau 1,,196.98
2019,Yukon,Agression sexuelle de niveau 1,,298.96
2020,Yukon,Agression sexuelle de niveau 1,,275.85
2015,Yukon,Total des infractions sexuelles contre les enfants,,68.98
2016,Yukon,Total des infractions sexuelles contre les enfants,,54.48
2017,Yukon,Total des infractions sexuelles contre les enfants,,40.33
2018,Yukon,Total des infractions sexuelles contre les enfants,,68.94
2019,Yukon,Total des infractions sexuelles contre les enfants,,67.51
2020,Yukon,Total des infractions sexuelles contre les enfants,,64.21
2015,Yukon,Voies de fait graves (niveau 3),,58.37
2016,Yukon,Voies de fait graves (niveau 3),,38.91
2017,Yukon,Voies de fait graves (niveau 3),,37.81
2018,Yukon,Voies de fait graves (niveau 3),,29.55
2019,Yukon,Voies de fait graves (niveau 3),,28.93
2020,Yukon,Voies de fait graves (niveau 3),,68.96
2015,Yukon,Voies de fait armées ou causant des lésions corporelles (niveau 2),,419.21
2016,Yukon,Voies de fait armées ou causant des lésions corporelles (niveau 2),,456.59
2017,Yukon,Voies de fait armées ou causant des lésions corporelles (niveau 2),,347.88
2018,Yukon,Voies de fait armées ou causant des lésions corporelles (niveau 2),,514.61
2019,Yukon,Voies de fait armées ou causant des lésions corporelles (niveau 2),,520.77
2020,Yukon,Voies de fait armées ou causant des lésions corporelles (niveau 2),,444.69
2015,Yukon,Voies de fait simples (niveau 1),,2098.7
2016,Yukon,Voies de fait simples (niveau 1),,2049.45
2017,Yukon,Voies de fait simples (niveau 1),,1893.17
2018,Yukon,Voies de fait simples (niveau 1),,1979.66
2019,Yukon,Voies de fait simples (niveau 1),,2495.36
2020,Yukon,Voies de fait simples (niveau 1),,2444.59
2015,Yukon,Total des vols qualifiés,,58.37
2016,Yukon,Total des vols qualifiés,,62.26
2017,Yukon,Total des vols qualifiés,,30.25
2018,Yukon,Total des vols qualifiés,,39.4
2019,Yukon,Total des vols qualifiés,,53.04
2020,Yukon,Total des vols qualifiés,,54.69
2015,Yukon,Menaces,,697.8
2016,Yukon,Menaces,,658.94
2017,Yukon,Menaces,,688.19
2018,Yukon,Menaces,,635.26
2019,Yukon,Menaces,,961.98
2020,Yukon,Menaces,,901.27
2015,Yukon,Total des autres infractions avec violence,,21.23
2016,Yukon,Total des autres infractions avec violence,,28.54
2017,Yukon,Total des autres infractions avec violence,,45.38
2018,Yukon,Total des autres infractions avec violence,,12.31
2019,Yukon,Total des autres infractions avec violence,,38.58
2020,Yukon,Total des autres infractions avec violence,,68.96
2015,Territoires du Nord-Ouest,Total des infractions,61,47229.69
2016,Territoires du Nord-Ouest,Total des infractions,61,43320.12
2017,Territoires du Nord-Ouest,Total des infractions,61,44536.77
2018,Territoires du Nord-Ouest,Total des infractions,61,45461.42
2019,Territoires du Nord-Ouest,Total des infractions,61,55469.93
2020,Territoires du Nord-Ouest,Total des infractions,61,60421.6
2015,Territoires du Nord-Ouest,Homicide,,11.3
2016,Territoires du Nord-Ouest,Homicide,,6.72
2017,Territoires du Nord-Ouest,Homicide,,4.46
2018,Territoires du Nord-Ouest,Homicide,,13.34
2019,Territoires du Nord-Ouest,Homicide,,4.44
2020,Territoires du Nord-Ouest,Homicide,,13.29
2015,Territoires du Nord-Ouest,Total des autres infractions entraînant la mort,,0.0
2016,Territoires du Nord-Ouest,Total des autres infractions entraînant la mort,,0.0
2017,Territoires du Nord-Ouest,Total des autres infractions entraînant la mort,,0.0
2018,Territoires du Nord-Ouest,Total des autres infractions entraînant la mort,,0.0
2019,Territoires du Nord-Ouest,Total des autres infractions entraînant la mort,,0.0
2020,Territoires du Nord-Ouest,Total des autres infractions entraînant la mort,,0.0
2015,Territoires du Nord-Ouest,Tentative de meurtre,,6.78
2016,Territoires du Nord-Ouest,Tentative de meurtre,,0.0
2017,Territoires du Nord-Ouest,Tentative de meurtre,,2.23
2018,Territoires du Nord-Ouest,Tentative de meurtre,,2.22
2019,Territoires du Nord-Ouest,Tentative de meurtre,,2.22
2020,Territoires du Nord-Ouest,Tentative de meurtre,,2.21
2015,Territoires du Nord-Ouest,Agression sexuelle grave (niveau 3),,2.26
2016,Territoires du Nord-Ouest,Agression sexuelle grave (niveau 3),,2.24
2017,Territoires du Nord-Ouest,Agression sexuelle grave (niveau 3),,2.23
2018,Territoires du Nord-Ouest,Agression sexuelle grave (niveau 3),,2.22
2019,Territoires du Nord-Ouest,Agression sexuelle grave (niveau 3),,4.44
2020,Territoires du Nord-Ouest,Agression sexuelle grave (niveau 3),,0.0
2015,Territoires du Nord-Ouest,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,13.56
2016,Territoires du Nord-Ouest,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,15.68
2017,Territoires du Nord-Ouest,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,11.14
2018,Territoires du Nord-Ouest,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.0
2019,Territoires du Nord-Ouest,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,2.22
2020,Territoires du Nord-Ouest,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,6.64
2015,Territoires du Nord-Ouest,Agression sexuelle de niveau 1,,363.95
2016,Territoires du Nord-Ouest,Agression sexuelle de niveau 1,,293.4
2017,Territoires du Nord-Ouest,Agression sexuelle de niveau 1,,405.43
2018,Territoires du Nord-Ouest,Agression sexuelle de niveau 1,,360.15
2019,Territoires du Nord-Ouest,Agression sexuelle de niveau 1,,575.2
2020,Territoires du Nord-Ouest,Agression sexuelle de niveau 1,,540.29
2015,Territoires du Nord-Ouest,Total des infractions sexuelles contre les enfants,,90.42
2016,Territoires du Nord-Ouest,Total des infractions sexuelles contre les enfants,,85.11
2017,Territoires du Nord-Ouest,Total des infractions sexuelles contre les enfants,,122.52
2018,Territoires du Nord-Ouest,Total des infractions sexuelles contre les enfants,,140.06
2019,Territoires du Nord-Ouest,Total des infractions sexuelles contre les enfants,,142.13
2020,Territoires du Nord-Ouest,Total des infractions sexuelles contre les enfants,,112.93
2015,Territoires du Nord-Ouest,Voies de fait graves (niveau 3),,72.34
2016,Territoires du Nord-Ouest,Voies de fait graves (niveau 3),,49.27
2017,Territoires du Nord-Ouest,Voies de fait graves (niveau 3),,75.74
2018,Territoires du Nord-Ouest,Voies de fait graves (niveau 3),,84.48
2019,Territoires du Nord-Ouest,Voies de fait graves (niveau 3),,95.5
2020,Territoires du Nord-Ouest,Voies de fait graves (niveau 3),,88.57
2015,Territoires du Nord-Ouest,Voies de fait armées ou causant des lésions corporelles (niveau 2),,849.97
2016,Territoires du Nord-Ouest,Voies de fait armées ou causant des lésions corporelles (niveau 2),,891.4
2017,Territoires du Nord-Ouest,Voies de fait armées ou causant des lésions corporelles (niveau 2),,948.97
2018,Territoires du Nord-Ouest,Voies de fait armées ou causant des lésions corporelles (niveau 2),,878.15
2019,Territoires du Nord-Ouest,Voies de fait armées ou causant des lésions corporelles (niveau 2),,1125.97
2020,Territoires du Nord-Ouest,Voies de fait armées ou causant des lésions corporelles (niveau 2),,1262.15
2015,Territoires du Nord-Ouest,Voies de fait simples (niveau 1),,4265.66
2016,Territoires du Nord-Ouest,Voies de fait simples (niveau 1),,4353.96
2017,Territoires du Nord-Ouest,Voies de fait simples (niveau 1),,4876.26
2018,Territoires du Nord-Ouest,Voies de fait simples (niveau 1),,5113.27
2019,Territoires du Nord-Ouest,Voies de fait simples (niveau 1),,6200.59
2020,Territoires du Nord-Ouest,Voies de fait simples (niveau 1),,6200.04
2015,Territoires du Nord-Ouest,Total des vols qualifiés,,61.03
2016,Territoires du Nord-Ouest,Total des vols qualifiés,,69.43
2017,Territoires du Nord-Ouest,Total des vols qualifiés,,66.83
2018,Territoires du Nord-Ouest,Total des vols qualifiés,,86.7
2019,Territoires du Nord-Ouest,Total des vols qualifiés,,79.95
2020,Territoires du Nord-Ouest,Total des vols qualifiés,,75.29
2015,Territoires du Nord-Ouest,Menaces,,1118.97
2016,Territoires du Nord-Ouest,Menaces,,1218.39
2017,Territoires du Nord-Ouest,Menaces,,1187.32
2018,Territoires du Nord-Ouest,Menaces,,1204.95
2019,Territoires du Nord-Ouest,Menaces,,1747.8
2020,Territoires du Nord-Ouest,Menaces,,2008.37
2015,Territoires du Nord-Ouest,Total des autres infractions avec violence,,36.17
2016,Territoires du Nord-Ouest,Total des autres infractions avec violence,,44.79
2017,Territoires du Nord-Ouest,Total des autres infractions avec violence,,53.46
2018,Territoires du Nord-Ouest,Total des autres infractions avec violence,,48.91
2019,Territoires du Nord-Ouest,Total des autres infractions avec violence,,102.16
2020,Territoires du Nord-Ouest,Total des autres infractions avec violence,,79.71
2015,Nunavut,Total des infractions,62,34482.57
2016,Nunavut,Total des infractions,62,35935.09
2017,Nunavut,Total des infractions,62,36912.05
2018,Nunavut,Total des infractions,62,40093.86
2019,Nunavut,Total des infractions,62,49158.34
2020,Nunavut,Total des infractions,62,53284.37
2015,Nunavut,Homicide,,5.48
2016,Nunavut,Homicide,,2.7
2017,Nunavut,Homicide,,15.98
2018,Nunavut,Homicide,,20.97
2019,Nunavut,Homicide,,18.13
2020,Nunavut,Homicide,,7.62
2015,Nunavut,Total des autres infractions entraînant la mort,,0.0
2016,Nunavut,Total des autres infractions entraînant la mort,,0.0
2017,Nunavut,Total des autres infractions entraînant la mort,,0.0
2018,Nunavut,Total des autres infractions entraînant la mort,,0.0
2019,Nunavut,Total des autres infractions entraînant la mort,,0.0
2020,Nunavut,Total des autres infractions entraînant la mort,,0.0
2015,Nunavut,Tentative de meurtre,,2.74
2016,Nunavut,Tentative de meurtre,,24.34
2017,Nunavut,Tentative de meurtre,,5.33
2018,Nunavut,Tentative de meurtre,,20.97
2019,Nunavut,Tentative de meurtre,,15.54
2020,Nunavut,Tentative de meurtre,,17.79
2015,Nunavut,Agression sexuelle grave (niveau 3),,2.74
2016,Nunavut,Agression sexuelle grave (niveau 3),,0.0
2017,Nunavut,Agression sexuelle grave (niveau 3),,0.0
2018,Nunavut,Agression sexuelle grave (niveau 3),,18.35
2019,Nunavut,Agression sexuelle grave (niveau 3),,5.18
2020,Nunavut,Agression sexuelle grave (niveau 3),,2.54
2015,Nunavut,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,5.48
2016,Nunavut,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.0
2017,Nunavut,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,2.66
2018,Nunavut,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,5.24
2019,Nunavut,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.0
2020,Nunavut,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,15.25
2015,Nunavut,Agression sexuelle de niveau 1,,441.24
2016,Nunavut,Agression sexuelle de niveau 1,,440.84
2017,Nunavut,Agression sexuelle de niveau 1,,396.85
2018,Nunavut,Agression sexuelle de niveau 1,,437.83
2019,Nunavut,Agression sexuelle de niveau 1,,554.2
2020,Nunavut,Agression sexuelle de niveau 1,,581.91
2015,Nunavut,Total des infractions sexuelles contre les enfants,,134.29
2016,Nunavut,Total des infractions sexuelles contre les enfants,,278.57
2017,Nunavut,Total des infractions sexuelles contre les enfants,,218.4
2018,Nunavut,Total des infractions sexuelles contre les enfants,,230.71
2019,Nunavut,Total des infractions sexuelles contre les enfants,,266.74
2020,Nunavut,Total des infractions sexuelles contre les enfants,,363.38
2015,Nunavut,Voies de fait graves (niveau 3),,65.78
2016,Nunavut,Voies de fait graves (niveau 3),,91.95
2017,Nunavut,Voies de fait graves (niveau 3),,141.16
2018,Nunavut,Voies de fait graves (niveau 3),,165.17
2019,Nunavut,Voies de fait graves (niveau 3),,214.95
2020,Nunavut,Voies de fait graves (niveau 3),,188.04
2015,Nunavut,Voies de fait armées ou causant des lésions corporelles (niveau 2),,951.0
2016,Nunavut,Voies de fait armées ou causant des lésions corporelles (niveau 2),,1046.65
2017,Nunavut,Voies de fait armées ou causant des lésions corporelles (niveau 2),,910.88
2018,Nunavut,Voies de fait armées ou causant des lésions corporelles (niveau 2),,1014.6
2019,Nunavut,Voies de fait armées ou causant des lésions corporelles (niveau 2),,1411.41
2020,Nunavut,Voies de fait armées ou causant des lésions corporelles (niveau 2),,1611.06
2015,Nunavut,Voies de fait simples (niveau 1),,4138.35
2016,Nunavut,Voies de fait simples (niveau 1),,4235.29
2017,Nunavut,Voies de fait simples (niveau 1),,4434.56
2018,Nunavut,Voies de fait simples (niveau 1),,4624.7
2019,Nunavut,Voies de fait simples (niveau 1),,5767.34
2020,Nunavut,Voies de fait simples (niveau 1),,5961.43
2015,Nunavut,Total des vols qualifiés,,52.07
2016,Nunavut,Total des vols qualifiés,,27.05
2017,Nunavut,Total des vols qualifiés,,39.95
2018,Nunavut,Total des vols qualifiés,,34.08
2019,Nunavut,Total des vols qualifiés,,38.85
2020,Nunavut,Total des vols qualifiés,,27.95
2015,Nunavut,Menaces,,1189.43
2016,Nunavut,Menaces,,1092.63
2017,Nunavut,Menaces,,1158.58
2018,Nunavut,Menaces,,1200.74
2019,Nunavut,Menaces,,1675.56
2020,Nunavut,Menaces,,2025.26
2015,Nunavut,Total des autres infractions avec violence,,74.0
2016,Nunavut,Total des autres infractions avec violence,,37.86
2017,Nunavut,Total des autres infractions avec violence,,47.94
2018,Nunavut,Total des autres infractions avec violence,,73.41
2019,Nunavut,Total des autres infractions avec violence,,88.05
2020,Nunavut,Total des autres infractions avec violence,,86.4
