Year,Géographie,Type de matières récupérées,Sources des matières préparées en vue du recyclage,GeoCode,Value
2018,Île-du-Prince-Édouard,Cuivre et aluminium,Toutes les sources des matières récupérées,11,10.59349657
2018,Île-du-Prince-Édouard,Cuivre et aluminium,Sources des matières résidentielles récupérées,11,4.393856424
2018,Île-du-Prince-Édouard,Cuivre et aluminium,Sources des matières non résidentielles récupérées,11,6.199640147
2018,Île-du-Prince-Édouard,Métaux mélangés,Toutes les sources des matières récupérées,11,13.06422593
2018,Île-du-Prince-Édouard,Métaux mélangés,Sources des matières résidentielles récupérées,11,4.967535007
2018,Île-du-Prince-Édouard,Métaux mélangés,Sources des matières non résidentielles récupérées,11,8.096690918
2018,Île-du-Prince-Édouard,Électroménagers,Toutes les sources des matières récupérées,11,44.26451798
2018,Île-du-Prince-Édouard,Électroménagers,Sources des matières résidentielles récupérées,11,16.81921302
2018,Île-du-Prince-Édouard,Électroménagers,Sources des matières non résidentielles récupérées,11,27.44530496
2018,Île-du-Prince-Édouard,Matériel électronique,Toutes les sources des matières récupérées,11,2.985736264
2018,Île-du-Prince-Édouard,Matériel électronique,Sources des matières résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,Matériel électronique,Sources des matières non résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,Matières plastiques,Toutes les sources des matières récupérées,11,6.121411249
2018,Île-du-Prince-Édouard,Matières plastiques,Sources des matières résidentielles récupérées,11,2.327309708
2018,Île-du-Prince-Édouard,Matières plastiques,Sources des matières non résidentielles récupérées,11,3.794101541
2018,Île-du-Prince-Édouard,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,11,0.0
2018,Île-du-Prince-Édouard,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,11,0.0
2018,Île-du-Prince-Édouard,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,11,0.0
2018,Île-du-Prince-Édouard,Textiles,Toutes les sources des matières récupérées,11,0.0
2018,Île-du-Prince-Édouard,Textiles,Sources des matières résidentielles récupérées,11,0.0
2018,Île-du-Prince-Édouard,Textiles,Sources des matières non résidentielles récupérées,11,0.0
2018,Île-du-Prince-Édouard,Pneus,Toutes les sources des matières récupérées,11,15.34590211
2018,Île-du-Prince-Édouard,Pneus,Sources des matières résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,Pneus,Sources des matières non résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,"data.Construction, renovation and demolition",Toutes les sources des matières récupérées,11,0.0
2018,Île-du-Prince-Édouard,"data.Construction, renovation and demolition",Sources des matières résidentielles récupérées,11,0.0
2018,Île-du-Prince-Édouard,"data.Construction, renovation and demolition",Sources des matières non résidentielles récupérées,11,0.0
2018,Île-du-Prince-Édouard,Matières organiques,Toutes les sources des matières récupérées,11,133.2824845
2018,Île-du-Prince-Édouard,Matières organiques,Sources des matières résidentielles récupérées,11,105.0614097
2018,Île-du-Prince-Édouard,Matières organiques,Sources des matières non résidentielles récupérées,11,28.22107487
2018,Île-du-Prince-Édouard,Autres matières,Toutes les sources des matières récupérées,11,2.183890062
2018,Île-du-Prince-Édouard,Autres matières,Sources des matières résidentielles récupérées,11,0.827922501
