Year,Géographie,Source,Value
1997,Alberta,Industrie lourde,16.17169667
1997,Alberta,"Fabrication légère, construction et ressources forestières",5.146252041
1997,Alberta,Bâtiments,14.70148455
1997,Alberta,Déchets et autres,2.905193548
1997,Alberta,Agriculture,21.276548
1998,Alberta,Inventaire provincial,213.3677922
1998,Alberta,Exploitation pétrolière et gazière,84.66261856
1998,Alberta,Charbon,0.811457738
1998,Alberta,Électricité,49.71854152
1998,Alberta,Transports,19.68449235
1998,Alberta,Industrie lourde,16.38529183
1998,Alberta,"Fabrication légère, construction et ressources forestières",3.446372471
1998,Alberta,Bâtiments,13.92750571
1998,Alberta,Déchets et autres,3.074741147
1998,Alberta,Agriculture,21.65677087
1999,Alberta,Inventaire provincial,220.2510635
1999,Alberta,Exploitation pétrolière et gazière,92.05992351
1999,Alberta,Charbon,0.662817661
1999,Alberta,Électricité,47.81526077
1999,Alberta,Transports,20.42449923
1999,Alberta,Industrie lourde,16.55636987
1999,Alberta,"Fabrication légère, construction et ressources forestières",4.019315664
1999,Alberta,Bâtiments,13.58280288
1999,Alberta,Déchets et autres,3.17636552
1999,Alberta,Agriculture,21.9537084
2000,Alberta,Inventaire provincial,227.7443853
2000,Alberta,Exploitation pétrolière et gazière,94.78586827
2000,Alberta,Charbon,0.618870298
2000,Alberta,Électricité,48.83601348
2000,Alberta,Transports,21.17112816
2000,Alberta,Industrie lourde,16.96985393
2000,Alberta,"Fabrication légère, construction et ressources forestières",3.989454633
2000,Alberta,Bâtiments,15.48055297
2000,Alberta,Déchets et autres,3.294595663
2000,Alberta,Agriculture,22.59804794
2001,Alberta,Inventaire provincial,226.8515713
2001,Alberta,Exploitation pétrolière et gazière,95.56761628
2001,Alberta,Charbon,0.589715063
2001,Alberta,Électricité,48.87353699
2001,Alberta,Transports,22.98098824
2001,Alberta,Industrie lourde,16.82338994
2001,Alberta,"Fabrication légère, construction et ressources forestières",2.941879193
2001,Alberta,Bâtiments,13.53445475
2001,Alberta,Déchets et autres,3.418970706
2001,Alberta,Agriculture,22.12102019
2002,Alberta,Inventaire provincial,226.5668494
2002,Alberta,Exploitation pétrolière et gazière,95.39644853
2002,Alberta,Charbon,0.483458206
2002,Alberta,Électricité,48.534832
2002,Alberta,Transports,22.2106176
2002,Alberta,Industrie lourde,16.56597047
2002,Alberta,"Fabrication légère, construction et ressources forestières",2.835562813
2002,Alberta,Bâtiments,15.73247699
2002,Alberta,Déchets et autres,3.515853709
2002,Alberta,Agriculture,21.29162913
2003,Alberta,Inventaire provincial,234.4379639
2003,Alberta,Exploitation pétrolière et gazière,99.71655635
2003,Alberta,Charbon,0.383487531
2003,Alberta,Électricité,49.62983043
2003,Alberta,Transports,22.90356391
2003,Alberta,Industrie lourde,16.34997752
2003,Alberta,"Fabrication légère, construction et ressources forestières",2.514801707
2003,Alberta,Bâtiments,18.01509364
2003,Alberta,Déchets et autres,3.542262367
2003,Alberta,Agriculture,21.38239041
2004,Alberta,Inventaire provincial,232.1325718
2004,Alberta,Exploitation pétrolière et gazière,97.97427814
2004,Alberta,Charbon,0.355137979
2004,Alberta,Électricité,46.63072568
2004,Alberta,Transports,24.01911437
2004,Alberta,Industrie lourde,17.67027361
2004,Alberta,"Fabrication légère, construction et ressources forestières",2.41038547
2004,Alberta,Bâtiments,17.20848328
2004,Alberta,Déchets et autres,3.671289669
2004,Alberta,Agriculture,22.19288358
2005,Alberta,Inventaire provincial,235.4791904
2005,Alberta,Exploitation pétrolière et gazière,99.75284267
2005,Alberta,Charbon,0.510194767
2005,Alberta,Électricité,47.66157112
2005,Alberta,Transports,25.06117457
2005,Alberta,Industrie lourde,17.72798029
2005,Alberta,"Fabrication légère, construction et ressources forestières",2.203426816
2005,Alberta,Bâtiments,16.08024754
2005,Alberta,Déchets et autres,3.7851252
2005,Alberta,Agriculture,22.69662746
2006,Alberta,Inventaire provincial,241.3486364
2006,Alberta,Exploitation pétrolière et gazière,103.4667778
2006,Alberta,Charbon,0.558421588
2006,Alberta,Électricité,47.86213628
2006,Alberta,Transports,27.16024454
2006,Alberta,Industrie lourde,17.68086754
2006,Alberta,"Fabrication légère, construction et ressources forestières",2.629381794
2006,Alberta,Bâtiments,16.31071262
2006,Alberta,Déchets et autres,3.7961336
2006,Alberta,Agriculture,21.88396063
2007,Alberta,Inventaire provincial,251.0970692
2007,Alberta,Exploitation pétrolière et gazière,108.9671187
2007,Alberta,Charbon,0.609661684
2007,Alberta,Électricité,48.54182243
2007,Alberta,Transports,29.18750557
2007,Alberta,Industrie lourde,16.84207582
2007,Alberta,"Fabrication légère, construction et ressources forestières",2.787533376
2007,Alberta,Bâtiments,18.40223805
2007,Alberta,Déchets et autres,3.904128203
2007,Alberta,Agriculture,21.85498536
2008,Alberta,Inventaire provincial,249.1003472
2008,Alberta,Exploitation pétrolière et gazière,107.3264726
2008,Alberta,Charbon,0.641775764
2008,Alberta,Électricité,48.26563631
2008,Alberta,Transports,29.59569162
2008,Alberta,Industrie lourde,16.49918035
2008,Alberta,"Fabrication légère, construction et ressources forestières",2.664082395
2008,Alberta,Bâtiments,18.16809856
2008,Alberta,Déchets et autres,4.026471342
2008,Alberta,Agriculture,21.91293827
2009,Alberta,Inventaire provincial,241.6976617
2009,Alberta,Exploitation pétrolière et gazière,106.883795
2009,Alberta,Charbon,0.739464893
2009,Alberta,Électricité,45.2677421
2009,Alberta,Transports,28.33926018
2009,Alberta,Industrie lourde,15.40054635
2009,Alberta,"Fabrication légère, construction et ressources forestières",2.307759496
2009,Alberta,Bâtiments,18.07516936
2009,Alberta,Déchets et autres,4.057304017
2009,Alberta,Agriculture,20.62662032
2010,Alberta,Inventaire provincial,247.7141193
2010,Alberta,Exploitation pétrolière et gazière,109.952551
2010,Alberta,Charbon,0.753311386
2010,Alberta,Électricité,44.73137214
2010,Alberta,Transports,30.14777521
2010,Alberta,Industrie lourde,16.77159904
2010,Alberta,"Fabrication légère, construction et ressources forestières",2.638520175
2010,Alberta,Bâtiments,17.81165148
2010,Alberta,Déchets et autres,4.131201537
2010,Alberta,Agriculture,20.7761373
2011,Alberta,Inventaire provincial,256.8073018
2011,Alberta,Exploitation pétrolière et gazière,116.3805734
2011,Alberta,Charbon,0.726789786
2011,Alberta,Électricité,44.80105303
2011,Alberta,Transports,29.74297769
2011,Alberta,Industrie lourde,18.32116386
2011,Alberta,"Fabrication légère, construction et ressources forestières",2.869741383
2011,Alberta,Bâtiments,18.97345244
2011,Alberta,Déchets et autres,4.204267132
2011,Alberta,Agriculture,20.78728313
2012,Alberta,Inventaire provincial,266.992934
2012,Alberta,Exploitation pétrolière et gazière,123.6261914
2012,Alberta,Charbon,0.560059156
2012,Alberta,Électricité,42.43548768
2012,Alberta,Transports,31.73914101
2012,Alberta,Industrie lourde,17.96580286
2012,Alberta,"Fabrication légère, construction et ressources forestières",2.720768014
2012,Alberta,Bâtiments,22.59593669
2012,Alberta,Déchets et autres,4.341690928
2012,Alberta,Agriculture,21.00785626
2013,Alberta,Inventaire provincial,273.8844028
2013,Alberta,Exploitation pétrolière et gazière,128.0299208
2013,Alberta,Charbon,0.702913782
2013,Alberta,Électricité,43.8124594
2013,Alberta,Transports,33.39333864
2013,Alberta,Industrie lourde,18.63325474
2013,Alberta,"Fabrication légère, construction et ressources forestières",3.095622544
2013,Alberta,Bâtiments,20.17825727
2013,Alberta,Déchets et autres,4.468839729
2013,Alberta,Agriculture,21.56979589
2014,Alberta,Inventaire provincial,278.1381184
2014,Alberta,Exploitation pétrolière et gazière,132.1527707
2014,Alberta,Charbon,0.472194565
2014,Alberta,Électricité,44.32286475
2014,Alberta,Transports,34.45955347
2014,Alberta,Industrie lourde,18.78771106
2014,Alberta,"Fabrication légère, construction et ressources forestières",3.151495984
2014,Alberta,Bâtiments,18.7650812
2014,Alberta,Déchets et autres,4.5646588
2014,Alberta,Agriculture,21.46178781
2015,Alberta,Inventaire provincial,278.3944003
2015,Alberta,Exploitation pétrolière et gazière,132.9766886
2015,Alberta,Charbon,0.584890341
2015,Alberta,Électricité,46.34139516
2015,Alberta,Transports,32.14208486
2015,Alberta,Industrie lourde,18.73505341
2015,Alberta,"Fabrication légère, construction et ressources forestières",2.956841503
2015,Alberta,Bâtiments,18.698015
2015,Alberta,Déchets et autres,4.625368199
2015,Alberta,Agriculture,21.33406328
2016,Alberta,Inventaire provincial,263.824385
2016,Alberta,Exploitation pétrolière et gazière,126.5295579
2016,Alberta,Charbon,0.555311231
2016,Alberta,Électricité,41.56590262
2016,Alberta,Transports,30.62748714
2016,Alberta,Industrie lourde,17.21611827
2016,Alberta,"Fabrication légère, construction et ressources forestières",3.056870053
2016,Alberta,Bâtiments,18.63787887
2016,Alberta,Déchets et autres,4.788920716
2016,Alberta,Agriculture,20.84633825
2017,Alberta,Inventaire provincial,271.012533
2017,Alberta,Exploitation pétrolière et gazière,130.9227483
2017,Alberta,Charbon,0.402076973
2017,Alberta,Électricité,42.4163578
2017,Alberta,Transports,32.32519193
2017,Alberta,Industrie lourde,16.7613836
2017,Alberta,"Fabrication légère, construction et ressources forestières",2.811087447
2017,Alberta,Bâtiments,20.24647863
2017,Alberta,Déchets et autres,4.880777509
2017,Alberta,Agriculture,20.24643079
2018,Alberta,Inventaire provincial,272.4942211
2018,Alberta,Exploitation pétrolière et gazière,139.9205549
2018,Alberta,Charbon,0.403889043
2018,Alberta,Électricité,31.34768028
2018,Alberta,Transports,33.40719918
2018,Alberta,Industrie lourde,17.27839419
2018,Alberta,"Fabrication légère, construction et ressources forestières",2.741932205
2018,Alberta,Bâtiments,21.57604138
2018,Alberta,Déchets et autres,5.042192226
2018,Alberta,Agriculture,20.7763377
2019,Alberta,Inventaire provincial,275.8461918
2019,Alberta,Exploitation pétrolière et gazière,141.292252
2019,Alberta,Charbon,0.368546615
2019,Alberta,Électricité,31.03974699
2019,Alberta,Transports,34.18042117
2019,Alberta,Industrie lourde,18.10830733
2019,Alberta,"Fabrication légère, construction et ressources forestières",3.061812494
2019,Alberta,Bâtiments,21.59298892
2019,Alberta,Déchets et autres,5.153869798
2019,Alberta,Agriculture,21.04824647
1990,Colombie-Britannique,Inventaire provincial,51.78313008
1990,Colombie-Britannique,Exploitation pétrolière et gazière,7.640923063
1990,Colombie-Britannique,Charbon,1.753600135
1990,Colombie-Britannique,Électricité,0.86050405
1990,Colombie-Britannique,Transports,15.35471339
1990,Colombie-Britannique,Industrie lourde,8.706262955
1990,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",2.561957754
1990,Colombie-Britannique,Bâtiments,7.526840616
1990,Colombie-Britannique,Déchets et autres,4.612691954
1990,Colombie-Britannique,Agriculture,2.765636159
1991,Colombie-Britannique,Inventaire provincial,50.88271507
1991,Colombie-Britannique,Exploitation pétrolière et gazière,7.035698508
1991,Colombie-Britannique,Charbon,1.831365089
1991,Colombie-Britannique,Électricité,0.527745943
1991,Colombie-Britannique,Transports,15.18716587
1991,Colombie-Britannique,Industrie lourde,8.960412495
1991,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",1.994134402
1991,Colombie-Britannique,Bâtiments,7.662543337
1991,Colombie-Britannique,Déchets et autres,4.867400696
1991,Colombie-Britannique,Agriculture,2.816248731
1992,Colombie-Britannique,Inventaire provincial,50.12693282
1992,Colombie-Britannique,Exploitation pétrolière et gazière,6.29119726
1992,Colombie-Britannique,Charbon,1.520062442
1992,Colombie-Britannique,Électricité,0.994726541
1992,Colombie-Britannique,Transports,15.43574084
1992,Colombie-Britannique,Industrie lourde,8.11104704
1992,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",2.206836755
1992,Colombie-Britannique,Bâtiments,7.678466782
1992,Colombie-Britannique,Déchets et autres,4.929516346
1992,Colombie-Britannique,Agriculture,2.959338808
1993,Colombie-Britannique,Inventaire provincial,53.16082066
1993,Colombie-Britannique,Exploitation pétrolière et gazière,5.980135205
1993,Colombie-Britannique,Charbon,1.977637109
1993,Colombie-Britannique,Électricité,1.972366772
1993,Colombie-Britannique,Transports,15.80454212
1993,Colombie-Britannique,Industrie lourde,8.172713466
1993,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",2.500138525
1993,Colombie-Britannique,Bâtiments,8.604347131
1993,Colombie-Britannique,Déchets et autres,5.160496879
1993,Colombie-Britannique,Agriculture,2.988443451
1994,Colombie-Britannique,Inventaire provincial,56.09265942
1994,Colombie-Britannique,Exploitation pétrolière et gazière,8.171632725
1994,Colombie-Britannique,Charbon,2.153744474
1994,Colombie-Britannique,Électricité,1.675516548
1994,Colombie-Britannique,Transports,16.58694248
1994,Colombie-Britannique,Industrie lourde,8.375799778
1994,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",2.697380474
1994,Colombie-Britannique,Bâtiments,8.142324291
1994,Colombie-Britannique,Déchets et autres,5.380267996
1994,Colombie-Britannique,Agriculture,2.909050653
1995,Colombie-Britannique,Inventaire provincial,60.17838428
1995,Colombie-Britannique,Exploitation pétrolière et gazière,9.862902839
1995,Colombie-Britannique,Charbon,2.229338867
1995,Colombie-Britannique,Électricité,1.802787537
1995,Colombie-Britannique,Transports,17.17823221
1995,Colombie-Britannique,Industrie lourde,8.486981725
1995,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",3.72851377
1995,Colombie-Britannique,Bâtiments,8.262354425
1995,Colombie-Britannique,Déchets et autres,5.63813018
1995,Colombie-Britannique,Agriculture,2.989142724
1996,Colombie-Britannique,Inventaire provincial,62.19272719
1996,Colombie-Britannique,Exploitation pétrolière et gazière,11.00890161
1996,Colombie-Britannique,Charbon,2.310264994
1996,Colombie-Britannique,Électricité,0.272627496
1996,Colombie-Britannique,Transports,17.73844979
1996,Colombie-Britannique,Industrie lourde,8.995313422
1996,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",4.019922252
1996,Colombie-Britannique,Bâtiments,8.952372268
1996,Colombie-Britannique,Déchets et autres,5.838026208
1996,Colombie-Britannique,Agriculture,3.056849149
1997,Colombie-Britannique,Inventaire provincial,61.26217533
1997,Colombie-Britannique,Exploitation pétrolière et gazière,9.608252308
1997,Colombie-Britannique,Charbon,2.314717354
1997,Colombie-Britannique,Électricité,0.61905177
1997,Colombie-Britannique,Transports,18.5913683
1997,Colombie-Britannique,Industrie lourde,9.13344172
1997,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",3.623459622
1997,Colombie-Britannique,Bâtiments,8.428008457
1997,Colombie-Britannique,Déchets et autres,5.79103206
1997,Colombie-Britannique,Agriculture,3.15284374
1998,Colombie-Britannique,Inventaire provincial,62.35137037
1998,Colombie-Britannique,Exploitation pétrolière et gazière,10.63815198
1998,Colombie-Britannique,Charbon,1.957904967
1998,Colombie-Britannique,Électricité,1.35405044
1998,Colombie-Britannique,Transports,19.42563473
1998,Colombie-Britannique,Industrie lourde,8.834570853
1998,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",3.37678118
1998,Colombie-Britannique,Bâtiments,7.86632923
1998,Colombie-Britannique,Déchets et autres,5.90099487
1998,Colombie-Britannique,Agriculture,2.996952123
1999,Colombie-Britannique,Inventaire provincial,63.94896381
1999,Colombie-Britannique,Exploitation pétrolière et gazière,11.63274309
1999,Colombie-Britannique,Charbon,1.929858076
1999,Colombie-Britannique,Électricité,0.691074738
1999,Colombie-Britannique,Transports,19.61439475
1999,Colombie-Britannique,Industrie lourde,9.234797365
1999,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",3.469269312
1999,Colombie-Britannique,Bâtiments,8.311249108
1999,Colombie-Britannique,Déchets et autres,5.935781299
1999,Colombie-Britannique,Agriculture,3.129796076
2000,Colombie-Britannique,Inventaire provincial,64.99112507
2000,Colombie-Britannique,Exploitation pétrolière et gazière,10.77954448
2000,Colombie-Britannique,Charbon,1.919645503
2000,Colombie-Britannique,Électricité,1.663307449
2000,Colombie-Britannique,Transports,19.47865297
2000,Colombie-Britannique,Industrie lourde,9.198086965
2000,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",4.082162111
2000,Colombie-Britannique,Bâtiments,8.625994454
2000,Colombie-Britannique,Déchets et autres,6.054971613
2000,Colombie-Britannique,Agriculture,3.188759524
2001,Colombie-Britannique,Inventaire provincial,66.32269823
2001,Colombie-Britannique,Exploitation pétrolière et gazière,12.47026104
2001,Colombie-Britannique,Charbon,2.11836269
2001,Colombie-Britannique,Électricité,2.240635658
2001,Colombie-Britannique,Transports,19.10877906
2001,Colombie-Britannique,Industrie lourde,8.151074538
2001,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",4.500635161
2001,Colombie-Britannique,Bâtiments,8.530429675
2001,Colombie-Britannique,Déchets et autres,5.908978441
2001,Colombie-Britannique,Agriculture,3.293541964
2002,Colombie-Britannique,Inventaire provincial,63.31247117
2002,Colombie-Britannique,Exploitation pétrolière et gazière,11.8999998
2002,Colombie-Britannique,Charbon,1.908103134
2002,Colombie-Britannique,Électricité,0.71351327
2002,Colombie-Britannique,Transports,19.09511391
2002,Colombie-Britannique,Industrie lourde,7.757954645
2002,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",3.834300152
2002,Colombie-Britannique,Bâtiments,9.056286493
2002,Colombie-Britannique,Déchets et autres,5.985676341
2002,Colombie-Britannique,Agriculture,3.061523422
2003,Colombie-Britannique,Inventaire provincial,63.19125815
2003,Colombie-Britannique,Exploitation pétrolière et gazière,11.88454609
2003,Colombie-Britannique,Charbon,1.903001078
2003,Colombie-Britannique,Électricité,0.75202518
2003,Colombie-Britannique,Transports,19.40090247
2003,Colombie-Britannique,Industrie lourde,7.963088874
2003,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",4.145470492
2003,Colombie-Britannique,Bâtiments,8.093430458
2003,Colombie-Britannique,Déchets et autres,5.915305448
2003,Colombie-Britannique,Agriculture,3.133488062
2004,Colombie-Britannique,Inventaire provincial,64.91585585
2004,Colombie-Britannique,Exploitation pétrolière et gazière,12.48981614
2004,Colombie-Britannique,Charbon,2.039042824
2004,Colombie-Britannique,Électricité,0.953433901
2004,Colombie-Britannique,Transports,20.39227215
2004,Colombie-Britannique,Industrie lourde,8.000094641
2004,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",4.109369423
2004,Colombie-Britannique,Bâtiments,8.073988453
2004,Colombie-Britannique,Déchets et autres,5.710123271
2004,Colombie-Britannique,Agriculture,3.147715052
2005,Colombie-Britannique,Inventaire provincial,62.97349045
2005,Colombie-Britannique,Exploitation pétrolière et gazière,11.90704269
2005,Colombie-Britannique,Charbon,1.69974987
2005,Colombie-Britannique,Électricité,1.041994571
2005,Colombie-Britannique,Transports,19.91186528
2005,Colombie-Britannique,Industrie lourde,7.123312542
2005,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",4.281710762
2005,Colombie-Britannique,Bâtiments,8.352652284
2005,Colombie-Britannique,Déchets et autres,5.583468065
2005,Colombie-Britannique,Agriculture,3.071694388
2006,Colombie-Britannique,Inventaire provincial,62.49404898
2006,Colombie-Britannique,Exploitation pétrolière et gazière,13.95856756
2006,Colombie-Britannique,Charbon,1.614507612
2006,Colombie-Britannique,Électricité,1.108941813
2006,Colombie-Britannique,Transports,19.77575674
2006,Colombie-Britannique,Industrie lourde,6.758662268
2006,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",2.602218062
2006,Colombie-Britannique,Bâtiments,8.265558437
2006,Colombie-Britannique,Déchets et autres,5.605496398
2006,Colombie-Britannique,Agriculture,2.804340098
2007,Colombie-Britannique,Inventaire provincial,62.71889403
2007,Colombie-Britannique,Exploitation pétrolière et gazière,14.05483541
2007,Colombie-Britannique,Charbon,1.815974358
2007,Colombie-Britannique,Électricité,0.87939251
2007,Colombie-Britannique,Transports,20.0067727
2007,Colombie-Britannique,Industrie lourde,6.625252731
2007,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",2.848888039
2007,Colombie-Britannique,Bâtiments,8.19118522
2007,Colombie-Britannique,Déchets et autres,5.544062043
2007,Colombie-Britannique,Agriculture,2.752531016
2008,Colombie-Britannique,Inventaire provincial,63.39041373
2008,Colombie-Britannique,Exploitation pétrolière et gazière,14.62771337
2008,Colombie-Britannique,Charbon,1.749137343
2008,Colombie-Britannique,Électricité,1.233463177
2008,Colombie-Britannique,Transports,20.39016391
2008,Colombie-Britannique,Industrie lourde,6.432816148
2008,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",2.481346228
2008,Colombie-Britannique,Bâtiments,8.368615098
2008,Colombie-Britannique,Déchets et autres,5.452944243
2008,Colombie-Britannique,Agriculture,2.654214209
2009,Colombie-Britannique,Inventaire provincial,60.22004543
2009,Colombie-Britannique,Exploitation pétrolière et gazière,14.63363242
2009,Colombie-Britannique,Charbon,1.550765848
2009,Colombie-Britannique,Électricité,1.088431205
2009,Colombie-Britannique,Transports,18.84993648
2009,Colombie-Britannique,Industrie lourde,6.089071106
2009,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",2.093315311
2009,Colombie-Britannique,Bâtiments,8.0657675
2009,Colombie-Britannique,Déchets et autres,5.419060181
2009,Colombie-Britannique,Agriculture,2.430065383
2010,Colombie-Britannique,Inventaire provincial,59.02332851
2010,Colombie-Britannique,Exploitation pétrolière et gazière,13.88797668
2010,Colombie-Britannique,Charbon,1.880642245
2010,Colombie-Britannique,Électricité,0.988655069
2010,Colombie-Britannique,Transports,19.10780401
2010,Colombie-Britannique,Industrie lourde,5.694593947
2010,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",2.260858362
2010,Colombie-Britannique,Bâtiments,7.282761397
2010,Colombie-Britannique,Déchets et autres,5.260810205
2010,Colombie-Britannique,Agriculture,2.6592266
2011,Colombie-Britannique,Inventaire provincial,59.58854176
2011,Colombie-Britannique,Exploitation pétrolière et gazière,14.94821538
2011,Colombie-Britannique,Charbon,1.82075658
2011,Colombie-Britannique,Électricité,0.303690141
2011,Colombie-Britannique,Transports,18.59898083
2011,Colombie-Britannique,Industrie lourde,5.819000521
2011,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",2.161103321
2011,Colombie-Britannique,Bâtiments,8.159414061
2011,Colombie-Britannique,Déchets et autres,5.16798647
2011,Colombie-Britannique,Agriculture,2.609394458
2012,Colombie-Britannique,Inventaire provincial,59.18426334
2012,Colombie-Britannique,Exploitation pétrolière et gazière,13.77544529
2012,Colombie-Britannique,Charbon,1.991469176
2012,Colombie-Britannique,Électricité,0.272907622
2012,Colombie-Britannique,Transports,19.62648809
2012,Colombie-Britannique,Industrie lourde,5.691668889
2012,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",2.327105431
2012,Colombie-Britannique,Bâtiments,7.89174562
2012,Colombie-Britannique,Déchets et autres,4.875083951
2012,Colombie-Britannique,Agriculture,2.732349267
2013,Colombie-Britannique,Inventaire provincial,60.54147385
2013,Colombie-Britannique,Exploitation pétrolière et gazière,14.33774775
2013,Colombie-Britannique,Charbon,2.014586406
2013,Colombie-Britannique,Électricité,0.384447828
2013,Colombie-Britannique,Transports,20.60168635
2013,Colombie-Britannique,Industrie lourde,5.393718764
2013,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",2.488852742
2013,Colombie-Britannique,Bâtiments,7.825534133
2013,Colombie-Britannique,Déchets et autres,4.656862644
2013,Colombie-Britannique,Agriculture,2.838037233
2014,Colombie-Britannique,Inventaire provincial,60.35104638
2014,Colombie-Britannique,Exploitation pétrolière et gazière,14.41623935
2014,Colombie-Britannique,Charbon,1.852256926
2014,Colombie-Britannique,Électricité,0.294423455
2014,Colombie-Britannique,Transports,20.8316038
2014,Colombie-Britannique,Industrie lourde,5.618829495
2014,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",2.215102679
2014,Colombie-Britannique,Bâtiments,7.818071451
2014,Colombie-Britannique,Déchets et autres,4.527125219
2014,Colombie-Britannique,Agriculture,2.777394002
2015,Colombie-Britannique,Inventaire provincial,59.24738312
2015,Colombie-Britannique,Exploitation pétrolière et gazière,13.34841389
2015,Colombie-Britannique,Charbon,1.620399305
2015,Colombie-Britannique,Électricité,0.250252422
2015,Colombie-Britannique,Transports,21.43738416
2015,Colombie-Britannique,Industrie lourde,5.687747314
2015,Colombie-Britannique,"Fabrication légère, construction et ressources forestières",2.354403851
2015,Colombie-Britannique,Bâtiments,7.253376504
2015,Colombie-Britannique,Déchets et autres,4.430388312
2015,Colombie-Britannique,Agriculture,2.865017359
