Year,Géographie,Sources des déchets à des fins d'élimination,Value
2012,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,365.5
2014,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,360.5
2016,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,363.2
2018,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,370.9
2002,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,271.6
2004,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,277.7
2006,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,353.5
2008,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,312.9
2010,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,291.5
2012,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,284.5
2014,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,309.0
2016,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,295.9
2018,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,288.3
2002,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,724.9
2004,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,773.2
2006,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,839.8
2008,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,780.3
2010,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,755.2
2012,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,743.9
2014,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,786.0
2016,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,746.7
2018,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,711.0
2002,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,308.7
2004,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,332.5
2006,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,394.0
2008,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,367.9
2018,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,409.2
2002,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,416.2
2004,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,440.7
2006,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,445.8
2008,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,412.4
2018,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,301.8
2002,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,416.2
2004,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,425.6
2006,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,382.9
2008,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,378.5
2010,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,389.8
2012,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,386.9
2014,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,388.0
2016,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,398.0
2018,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,409.4
2002,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,234.8
2004,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,234.9
2006,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,202.3
2008,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,220.3
2010,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,235.3
2012,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,232.6
2014,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,216.7
2016,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,217.9
2018,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,245.5
2002,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,181.4
2004,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,190.8
2006,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,180.6
2008,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,158.2
2010,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,154.5
2012,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,154.3
2014,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,171.3
2016,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,180.1
2018,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,163.9
2002,Ontario,Toutes les sources de déchets à des fins d'élimination,797.5
2004,Ontario,Toutes les sources de déchets à des fins d'élimination,791.6
2006,Ontario,Toutes les sources de déchets à des fins d'élimination,766.9
2008,Ontario,Toutes les sources de déchets à des fins d'élimination,747.6
2010,Ontario,Toutes les sources de déchets à des fins d'élimination,704.0
2012,Ontario,Toutes les sources de déchets à des fins d'élimination,687.7
2014,Ontario,Toutes les sources de déchets à des fins d'élimination,673.1
2016,Ontario,Toutes les sources de déchets à des fins d'élimination,682.9
2018,Ontario,Toutes les sources de déchets à des fins d'élimination,704.9
2002,Ontario,Sources de déchets résidentielles à des fins d'élimination,513.2
2004,Ontario,Sources de déchets résidentielles à des fins d'élimination,510.0
2006,Ontario,Sources de déchets résidentielles à des fins d'élimination,497.5
2008,Ontario,Sources de déchets résidentielles à des fins d'élimination,496.8
2010,Ontario,Sources de déchets résidentielles à des fins d'élimination,460.1
2012,Ontario,Sources de déchets résidentielles à des fins d'élimination,434.7
2014,Ontario,Sources de déchets résidentielles à des fins d'élimination,416.7
2016,Ontario,Sources de déchets résidentielles à des fins d'élimination,416.0
2018,Ontario,Sources de déchets résidentielles à des fins d'élimination,426.7
2002,Ontario,Sources de déchets non résidentielles à des fins d'élimination,284.3
2004,Ontario,Sources de déchets non résidentielles à des fins d'élimination,281.6
2006,Ontario,Sources de déchets non résidentielles à des fins d'élimination,269.4
2008,Ontario,Sources de déchets non résidentielles à des fins d'élimination,250.8
2010,Ontario,Sources de déchets non résidentielles à des fins d'élimination,243.9
2012,Ontario,Sources de déchets non résidentielles à des fins d'élimination,253.1
2014,Ontario,Sources de déchets non résidentielles à des fins d'élimination,256.3
2016,Ontario,Sources de déchets non résidentielles à des fins d'élimination,266.9
2018,Ontario,Sources de déchets non résidentielles à des fins d'élimination,278.2
