Year,Géographie,Actif,GeoCode,Value
2015,Île-du-Prince-Édouard,Installations récréatives intérieures,11,53.5
2015,Île-du-Prince-Édouard,Résidences d'étudiants,11,63.4
2015,Île-du-Prince-Édouard,Aéroports et autres gares de voyageurs,11,53.9
2015,Île-du-Prince-Édouard,Édifices de communications,11,53.5
2015,Île-du-Prince-Édouard,Bâtiments institutionnels,11,53.7
2015,Île-du-Prince-Édouard,"Écoles, collèges, universités et autres bâtiments d'enseignement",11,53.2
2015,Île-du-Prince-Édouard,Hôpitaux,11,57.0
2015,Île-du-Prince-Édouard,Maisons de soins infirmiers et résidences pour personnes âgées,11,57.4
2015,Île-du-Prince-Édouard,Centres religieux et lieux commémoratifs,11,32.7
2015,Île-du-Prince-Édouard,Musées,11,47.4
2015,Île-du-Prince-Édouard,Lieux historiques,11,32.2
2015,Île-du-Prince-Édouard,Bibliothèques,11,33.9
2015,Île-du-Prince-Édouard,Installations de sécurité publique,11,49.1
2015,Île-du-Prince-Édouard,Infrastructures de génie maritime,11,28.3
2015,Île-du-Prince-Édouard,Ports de mer,11,28.3
2015,Île-du-Prince-Édouard,Ports de plaisance et ports de commerce,11,33.4
2015,Île-du-Prince-Édouard,Canaux et voies navigables,11,32.2
2015,Île-du-Prince-Édouard,Autres infrastructures de génie maritime,11,26.5
2015,Île-du-Prince-Édouard,Infrastructures de génie liées aux transports,11,45.0
2015,Île-du-Prince-Édouard,Structures et réseaux autoroutiers et routiers,11,44.9
2015,Île-du-Prince-Édouard,Ponts,11,43.4
2015,Île-du-Prince-Édouard,Tunnels,11,49.8
2015,Île-du-Prince-Édouard,Lignes de chemins de fer,11,56.9
2015,Île-du-Prince-Édouard,Pistes d'atterrissage et de décollage,11,55.0
2015,Île-du-Prince-Édouard,Infrastructure d'adduction et de distribution d'eau,11,59.2
2015,Île-du-Prince-Édouard,Usines de filtration de l'eau,11,62.4
2015,Île-du-Prince-Édouard,Autres infrastructure d'eau,11,57.8
2015,Île-du-Prince-Édouard,Infrastructures pour les eaux usées,11,38.2
2015,Île-du-Prince-Édouard,Usines d'épuration des eaux d'égout,11,34.6
2015,Île-du-Prince-Édouard,Autres infrastructure d'égout,11,40.9
2015,Île-du-Prince-Édouard,Réseaux de communication,11,48.4
2015,Île-du-Prince-Édouard,"Câbles et lignes – coaxiaux, cuivre, aluminium, etc.",11,48.4
2015,Île-du-Prince-Édouard,Fibre optique,11,48.4
