Year,Géographie,Actifs d'infrastructures publiques essentielles,Type de municipalité par taille de population,GeoCode,Value
2016,Île-du-Prince-Édouard,Déchets solides,"Municipalités urbaines, population de 30 000 et plus",11,0.0
2016,Île-du-Prince-Édouard,Déchets solides,Toutes les municipalités rurales,11,
2016,Île-du-Prince-Édouard,Déchets solides,"Municipalités rurales, population 1 à 4 999",11,
2016,Île-du-Prince-Édouard,Déchets solides,"Municipalités rurales, population 5 000 et plus",11,
2016,Nouvelle-Écosse,Eau potable,Toutes les municipalités,12,56.67
2016,Nouvelle-Écosse,Eau potable,Toutes les municipalités urbaines,12,55.56
2016,Nouvelle-Écosse,Eau potable,"Municipalités urbaines, population de 1 à 4 999",12,33.33
2016,Nouvelle-Écosse,Eau potable,"Municipalités urbaines, population de 5 000 à 29 999",12,50.0
2016,Nouvelle-Écosse,Eau potable,"Municipalités urbaines, population de 30 000 et plus",12,100.0
2016,Nouvelle-Écosse,Eau potable,Toutes les municipalités rurales,12,57.14
2016,Nouvelle-Écosse,Eau potable,"Municipalités rurales, population 1 à 4 999",12,60.0
2016,Nouvelle-Écosse,Eau potable,"Municipalités rurales, population 5 000 et plus",12,50.0
2016,Nouvelle-Écosse,Eaux pluviales,Toutes les municipalités,12,80.0
2016,Nouvelle-Écosse,Eaux pluviales,Toutes les municipalités urbaines,12,90.0
2016,Nouvelle-Écosse,Eaux pluviales,"Municipalités urbaines, population de 1 à 4 999",12,100.0
2016,Nouvelle-Écosse,Eaux pluviales,"Municipalités urbaines, population de 5 000 à 29 999",12,80.0
2016,Nouvelle-Écosse,Eaux pluviales,"Municipalités urbaines, population de 30 000 et plus",12,100.0
2016,Nouvelle-Écosse,Eaux pluviales,Toutes les municipalités rurales,12,75.0
2016,Nouvelle-Écosse,Eaux pluviales,"Municipalités rurales, population 1 à 4 999",12,69.23
2016,Nouvelle-Écosse,Eaux pluviales,"Municipalités rurales, population 5 000 et plus",12,85.71
2016,Nouvelle-Écosse,Eaux usées,Toutes les municipalités,12,68.42
2016,Nouvelle-Écosse,Eaux usées,Toutes les municipalités urbaines,12,70.0
2016,Nouvelle-Écosse,Eaux usées,"Municipalités urbaines, population de 1 à 4 999",12,33.33
2016,Nouvelle-Écosse,Eaux usées,"Municipalités urbaines, population de 5 000 à 29 999",12,80.0
2016,Nouvelle-Écosse,Eaux usées,"Municipalités urbaines, population de 30 000 et plus",12,100.0
2016,Nouvelle-Écosse,Eaux usées,Toutes les municipalités rurales,12,67.86
2016,Nouvelle-Écosse,Eaux usées,"Municipalités rurales, population 1 à 4 999",12,64.71
2016,Nouvelle-Écosse,Eaux usées,"Municipalités rurales, population 5 000 et plus",12,72.73
2016,Nouvelle-Écosse,Déchets solides,Toutes les municipalités,12,11.11
2016,Nouvelle-Écosse,Déchets solides,Toutes les municipalités urbaines,12,0.0
2016,Nouvelle-Écosse,Déchets solides,"Municipalités urbaines, population de 1 à 4 999",12,
2016,Nouvelle-Écosse,Déchets solides,"Municipalités urbaines, population de 5 000 à 29 999",12,0.0
2016,Nouvelle-Écosse,Déchets solides,"Municipalités urbaines, population de 30 000 et plus",12,0.0
2016,Nouvelle-Écosse,Déchets solides,Toutes les municipalités rurales,12,14.29
2016,Nouvelle-Écosse,Déchets solides,"Municipalités rurales, population 1 à 4 999",12,0.0
2016,Nouvelle-Écosse,Déchets solides,"Municipalités rurales, population 5 000 et plus",12,25.0
2016,Nouveau-Brunswick,Eau potable,Toutes les municipalités,13,43.14
2016,Nouveau-Brunswick,Eau potable,Toutes les municipalités urbaines,13,39.13
2016,Nouveau-Brunswick,Eau potable,"Municipalités urbaines, population de 1 à 4 999",13,41.67
2016,Nouveau-Brunswick,Eau potable,"Municipalités urbaines, population de 5 000 à 29 999",13,50.0
2016,Nouveau-Brunswick,Eau potable,"Municipalités urbaines, population de 30 000 et plus",13,0.0
2016,Nouveau-Brunswick,Eau potable,Toutes les municipalités rurales,13,46.43
2016,Nouveau-Brunswick,Eau potable,"Municipalités rurales, population 1 à 4 999",13,45.83
2016,Nouveau-Brunswick,Eau potable,"Municipalités rurales, population 5 000 et plus",13,20.0
2016,Nouveau-Brunswick,Eaux pluviales,Toutes les municipalités,13,59.02
2016,Nouveau-Brunswick,Eaux pluviales,Toutes les municipalités urbaines,13,55.56
2016,Nouveau-Brunswick,Eaux pluviales,"Municipalités urbaines, population de 1 à 4 999",13,50.0
2016,Nouveau-Brunswick,Eaux pluviales,"Municipalités urbaines, population de 5 000 à 29 999",13,75.0
2016,Nouveau-Brunswick,Eaux pluviales,"Municipalités urbaines, population de 30 000 et plus",13,66.67
2016,Nouveau-Brunswick,Eaux pluviales,Toutes les municipalités rurales,13,61.76
2016,Nouveau-Brunswick,Eaux pluviales,"Municipalités rurales, population 1 à 4 999",13,65.52
2016,Nouveau-Brunswick,Eaux pluviales,"Municipalités rurales, population 5 000 et plus",13,60.0
2016,Nouveau-Brunswick,Eaux usées,Toutes les municipalités,13,43.55
2016,Nouveau-Brunswick,Eaux usées,Toutes les municipalités urbaines,13,46.43
2016,Nouveau-Brunswick,Eaux usées,"Municipalités urbaines, population de 1 à 4 999",13,41.18
2016,Nouveau-Brunswick,Eaux usées,"Municipalités urbaines, population de 5 000 à 29 999",13,75.0
2016,Nouveau-Brunswick,Eaux usées,"Municipalités urbaines, population de 30 000 et plus",13,0.0
2016,Nouveau-Brunswick,Eaux usées,Toutes les municipalités rurales,13,44.12
2016,Nouveau-Brunswick,Eaux usées,"Municipalités rurales, population 1 à 4 999",13,50.0
2016,Nouveau-Brunswick,Eaux usées,"Municipalités rurales, population 5 000 et plus",13,0.0
2016,Nouveau-Brunswick,Déchets solides,Toutes les municipalités,13,5.0
2016,Nouveau-Brunswick,Déchets solides,Toutes les municipalités urbaines,13,0.0
2016,Nouveau-Brunswick,Déchets solides,"Municipalités urbaines, population de 1 à 4 999",13,0.0
2016,Nouveau-Brunswick,Déchets solides,"Municipalités urbaines, population de 5 000 à 29 999",13,0.0
2016,Nouveau-Brunswick,Déchets solides,"Municipalités urbaines, population de 30 000 et plus",13,0.0
2016,Nouveau-Brunswick,Déchets solides,Toutes les municipalités rurales,13,7.69
2016,Nouveau-Brunswick,Déchets solides,"Municipalités rurales, population 1 à 4 999",13,10.0
2016,Nouveau-Brunswick,Déchets solides,"Municipalités rurales, population 5 000 et plus",13,0.0
2016,Québec,Eau potable,Toutes les municipalités,24,26.7
2016,Québec,Eau potable,Toutes les municipalités urbaines,24,25.81
2016,Québec,Eau potable,"Municipalités urbaines, population de 1 à 4 999",24,18.92
2016,Québec,Eau potable,"Municipalités urbaines, population de 5 000 à 29 999",24,32.89
2016,Québec,Eau potable,"Municipalités urbaines, population de 30 000 et plus",24,25.0
2016,Québec,Eau potable,Toutes les municipalités rurales,24,27.13
2016,Québec,Eau potable,"Municipalités rurales, population 1 à 4 999",24,
2016,Québec,Eau potable,"Municipalités rurales, population 5 000 et plus",24,42.86
2016,Québec,Eaux pluviales,Toutes les municipalités,24,45.7
2016,Québec,Eaux pluviales,Toutes les municipalités urbaines,24,55.96
2016,Québec,Eaux pluviales,"Municipalités urbaines, population de 1 à 4 999",24,31.94
2016,Québec,Eaux pluviales,"Municipalités urbaines, population de 5 000 à 29 999",24,63.53
2016,Québec,Eaux pluviales,"Municipalités urbaines, population de 30 000 et plus",24,86.11
2016,Québec,Eaux pluviales,Toutes les municipalités rurales,24,38.98
2016,Québec,Eaux pluviales,"Municipalités rurales, population 1 à 4 999",24,37.86
2016,Québec,Eaux pluviales,"Municipalités rurales, population 5 000 et plus",24,44.23
2016,Québec,Eaux usées,Toutes les municipalités,24,31.79
2016,Québec,Eaux usées,Toutes les municipalités urbaines,24,33.5
2016,Québec,Eaux usées,"Municipalités urbaines, population de 1 à 4 999",24,21.52
2016,Québec,Eaux usées,"Municipalités urbaines, population de 5 000 à 29 999",24,34.94
2016,Québec,Eaux usées,"Municipalités urbaines, population de 30 000 et plus",24,52.78
2016,Québec,Eaux usées,Toutes les municipalités rurales,24,30.85
2016,Québec,Eaux usées,"Municipalités rurales, population 1 à 4 999",24,31.07
2016,Québec,Eaux usées,"Municipalités rurales, population 5 000 et plus",24,30.19
2016,Québec,Déchets solides,Toutes les municipalités,24,
2016,Québec,Déchets solides,Toutes les municipalités urbaines,24,12.86
2016,Québec,Déchets solides,"Municipalités urbaines, population de 1 à 4 999",24,13.04
2016,Québec,Déchets solides,"Municipalités urbaines, population de 5 000 à 29 999",24,14.29
2016,Québec,Déchets solides,"Municipalités urbaines, population de 30 000 et plus",24,5.26
2016,Québec,Déchets solides,Toutes les municipalités rurales,24,
2016,Québec,Déchets solides,"Municipalités rurales, population 1 à 4 999",24,
2016,Québec,Déchets solides,"Municipalités rurales, population 5 000 et plus",24,12.5
2016,Ontario,Eau potable,Toutes les municipalités,35,23.98
2016,Ontario,Eau potable,Toutes les municipalités urbaines,35,28.7
2016,Ontario,Eau potable,"Municipalités urbaines, population de 1 à 4 999",35,14.29
2016,Ontario,Eau potable,"Municipalités urbaines, population de 5 000 à 29 999",35,34.55
2016,Ontario,Eau potable,"Municipalités urbaines, population de 30 000 et plus",35,21.74
2016,Ontario,Eau potable,Toutes les municipalités rurales,35,20.29
2016,Ontario,Eau potable,"Municipalités rurales, population 1 à 4 999",35,
2016,Ontario,Eau potable,"Municipalités rurales, population 5 000 et plus",35,22.08
2016,Ontario,Eaux pluviales,Toutes les municipalités,35,51.14
2016,Ontario,Eaux pluviales,Toutes les municipalités urbaines,35,58.7
2016,Ontario,Eaux pluviales,"Municipalités urbaines, population de 1 à 4 999",35,33.33
2016,Ontario,Eaux pluviales,"Municipalités urbaines, population de 5 000 à 29 999",35,54.69
2016,Ontario,Eaux pluviales,"Municipalités urbaines, population de 30 000 et plus",35,71.19
2016,Ontario,Eaux pluviales,Toutes les municipalités rurales,35,44.97
2016,Ontario,Eaux pluviales,"Municipalités rurales, population 1 à 4 999",35,54.55
2016,Ontario,Eaux pluviales,"Municipalités rurales, population 5 000 et plus",35,36.96
2016,Ontario,Eaux usées,Toutes les municipalités,35,34.44
2016,Ontario,Eaux usées,Toutes les municipalités urbaines,35,37.96
2016,Ontario,Eaux usées,"Municipalités urbaines, population de 1 à 4 999",35,0.0
2016,Ontario,Eaux usées,"Municipalités urbaines, population de 5 000 à 29 999",35,42.31
2016,Ontario,Eaux usées,"Municipalités urbaines, population de 30 000 et plus",35,39.58
2016,Ontario,Eaux usées,Toutes les municipalités rurales,35,30.83
2016,Ontario,Eaux usées,"Municipalités rurales, population 1 à 4 999",35,30.65
2016,Ontario,Eaux usées,"Municipalités rurales, population 5 000 et plus",35,30.56
2016,Ontario,Déchets solides,Toutes les municipalités,35,10.87
2016,Ontario,Déchets solides,Toutes les municipalités urbaines,35,11.9
2016,Ontario,Déchets solides,"Municipalités urbaines, population de 1 à 4 999",35,5.26
2016,Ontario,Déchets solides,"Municipalités urbaines, population de 5 000 à 29 999",35,12.9
2016,Ontario,Déchets solides,"Municipalités urbaines, population de 30 000 et plus",35,14.29
2016,Ontario,Déchets solides,Toutes les municipalités rurales,35,10.27
2016,Ontario,Déchets solides,"Municipalités rurales, population 1 à 4 999",35,16.05
2016,Ontario,Déchets solides,"Municipalités rurales, population 5 000 et plus",35,3.12
2016,Manitoba,Eau potable,Toutes les municipalités,46,28.26
2016,Manitoba,Eau potable,Toutes les municipalités urbaines,46,31.82
2016,Manitoba,Eau potable,"Municipalités urbaines, population de 1 à 4 999",46,14.29
2016,Manitoba,Eau potable,"Municipalités urbaines, population de 5 000 à 29 999",46,38.46
2016,Manitoba,Eau potable,"Municipalités urbaines, population de 30 000 et plus",46,50.0
2016,Manitoba,Eau potable,Toutes les municipalités rurales,46,27.14
2016,Manitoba,Eau potable,"Municipalités rurales, population 1 à 4 999",46,27.87
2016,Manitoba,Eau potable,"Municipalités rurales, population 5 000 et plus",46,25.0
2016,Manitoba,Eaux pluviales,Toutes les municipalités,46,50.5
2016,Manitoba,Eaux pluviales,Toutes les municipalités urbaines,46,66.67
2016,Manitoba,Eaux pluviales,"Municipalités urbaines, population de 1 à 4 999",46,0.0
2016,Manitoba,Eaux pluviales,"Municipalités urbaines, population de 5 000 à 29 999",46,80.0
2016,Manitoba,Eaux pluviales,"Municipalités urbaines, population de 30 000 et plus",46,100.0
2016,Manitoba,Eaux pluviales,Toutes les municipalités rurales,46,48.24
2016,Manitoba,Eaux pluviales,"Municipalités rurales, population 1 à 4 999",46,49.32
2016,Manitoba,Eaux pluviales,"Municipalités rurales, population 5 000 et plus",46,41.67
2016,Manitoba,Eaux usées,Toutes les municipalités,46,31.62
2016,Manitoba,Eaux usées,Toutes les municipalités urbaines,46,28.57
2016,Manitoba,Eaux usées,"Municipalités urbaines, population de 1 à 4 999",46,0.0
2016,Manitoba,Eaux usées,"Municipalités urbaines, population de 5 000 à 29 999",46,38.46
2016,Manitoba,Eaux usées,"Municipalités urbaines, population de 30 000 et plus",46,50.0
2016,Manitoba,Eaux usées,Toutes les municipalités rurales,46,32.29
2016,Manitoba,Eaux usées,"Municipalités rurales, population 1 à 4 999",46,31.76
2016,Manitoba,Eaux usées,"Municipalités rurales, population 5 000 et plus",46,33.33
2016,Manitoba,Déchets solides,Toutes les municipalités,46,14.81
2016,Manitoba,Déchets solides,Toutes les municipalités urbaines,46,27.78
2016,Manitoba,Déchets solides,"Municipalités urbaines, population de 1 à 4 999",46,0.0
2016,Manitoba,Déchets solides,"Municipalités urbaines, population de 5 000 à 29 999",46,41.67
2016,Manitoba,Déchets solides,"Municipalités urbaines, population de 30 000 et plus",46,0.0
2016,Manitoba,Déchets solides,Toutes les municipalités rurales,46,
2016,Manitoba,Déchets solides,"Municipalités rurales, population 1 à 4 999",46,
2016,Manitoba,Déchets solides,"Municipalités rurales, population 5 000 et plus",46,0.0
